cid,size,min_cos,min_jac,size_ratio,n_brands,n_cats,confidence,likely_good
0,4,0.8846774010852251,1.0,1.0,1,2,0.9500000000000001,False
1,4,0.39301475777252043,0.3333333333333333,1.0,2,2,0.5177999755533024,False
2,3,0.6980690398116136,0.75,1.0,1,2,0.9063153027764058,False
3,3,0.38897671801857975,0.25,1.0318181818181817,0,2,0.5863471648651056,False
4,3,0.33448568432635123,0.3333333333333333,1.008888888888889,0,2,0.5977160869335156,False
5,2,0.6295451905781311,0.75,1.008888888888889,0,1,0.926947938819199,True
6,4,0.7425815852976168,0.6,1.0,1,2,0.8837254413180263,False
7,4,0.5129986795120398,0.5,1.0526315789473684,1,2,0.7436661007432553,False
8,4,0.5129986795120398,0.5,1.0256410256410255,1,2,0.7436661007432553,False
9,4,0.7081618777987192,0.42857142857142855,1.0,1,2,0.7975455666756416,False
10,4,0.4100926533874022,0.18181818181818182,1.0,0,2,0.566987760542653,False
11,4,0.4541514641431114,0.3333333333333333,1.0526315789473684,1,2,0.6490014211406986,False
12,4,0.718435274379374,0.5,1.0,1,2,0.8317103556863985,False
13,3,0.7281085063280731,0.5,1.0,1,2,0.8358560265215552,False
15,3,0.517940242155394,0.375,1.0,0,2,0.6937005799713594,False
16,4,0.7000836689466219,0.42857142857142855,1.0,1,2,0.7940834771675999,False
17,3,0.21282844513444862,0.2727272727272727,1.008888888888889,0,2,0.5203247448844607,False
18,3,0.8502085041521611,1.0,1.0,1,2,0.9500000000000001,False
19,3,0.8278352744091722,0.8333333333333334,1.0,1,2,0.9500000000000001,False
20,4,0.8695569083291749,0.8,1.0,1,2,0.9500000000000001,False
21,3,0.8261618131619269,1.0,1.0,1,2,0.9500000000000001,False
22,4,0.2285601278255074,0.3333333333333333,1.5,1,2,0.39231941986172536,False
23,4,0.8156062337850432,0.8,1.0,1,2,0.9500000000000001,False
24,4,0.9574829277838822,1.0,1.0,1,2,0.9500000000000001,False
25,4,0.9543896948082121,1.0,1.0,1,2,0.9500000000000001,False
26,4,0.6816108213379781,0.42857142857142855,1.0,1,2,0.7861665424781812,False
27,4,0.7926942805400297,0.6666666666666666,1.0,1,2,0.9329800884854097,False
28,3,0.32422560117410215,0.16666666666666666,1.008888888888889,0,1,0.5738744639952501,False
29,3,0.49585272527377905,0.2,1.25,1,2,0.45131783464114344,False
30,3,0.6951634393378979,0.375,1.0,2,2,0.6646533787638612,False
31,2,0.9058023668404842,1.0,1.0,1,2,0.9500000000000001,False
32,4,0.4857418285478207,0.4444444444444444,1.03,1,2,0.7088364450390131,False
33,3,0.5082514812553216,0.3333333333333333,1.0526315789473684,2,2,0.5671871427602173,False
34,3,0.44430319525046663,0.375,1.17,1,2,0.5821418455835333,False
35,4,0.6873141106670279,0.625,1.0,1,2,0.8704560474287263,False
36,2,0.8596555236541276,0.6,1.0,1,2,0.9083333333333333,False
37,3,0.9782063279440819,1.0,1.0,1,2,0.9500000000000001,False
38,3,0.9687233486652347,1.0,1.0,1,2,0.9500000000000001,False
39,4,0.18349512725333686,0.16666666666666666,1.0748155953635405,1,2,0.4635614037434936,False
40,4,0.5722674010697675,0.375,1.0,1,2,0.7169836480775195,False
41,4,0.526104933149983,0.3,1.0,1,2,0.6659497332547547,False
42,4,0.7312418378543699,0.5,3.7735849056603774,1,2,0.6771988828899682,False
43,3,0.35818371687686745,0.1111111111111111,1.0,1,2,0.51527979400543,False
44,2,0.9999999999999999,1.0,1.0,1,2,0.9500000000000001,False
45,3,0.4781818355376919,0.3333333333333333,1.0,0,2,0.659300151738376,False
46,4,0.6263647845237168,0.625,1.12,2,2,0.6593349076530216,False
47,4,0.42652958605348607,0.2857142857142857,1.3038906414300737,1,2,0.4573222035467321,False
48,4,0.8244669434533514,0.8,1.0,1,2,0.9500000000000001,False
49,3,0.44176317634303736,0.2857142857142857,1.0,3,2,0.5188508850993969,False
50,4,0.74602546352387,1.0,1.0,1,2,0.9268680557959444,False
51,4,0.7064467783649692,0.8,1.0,1,2,0.9099057621564154,False
52,4,0.745328532650754,1.0,1.0,1,2,0.9265693711360375,False
53,4,0.7914457153543107,1.0,1.0,1,2,0.9463338780089904,False
54,3,0.9001314904799178,1.0,1.0,1,2,0.9500000000000001,False
55,3,0.6982673349868185,0.8,1.3157894736842106,0,2,0.7464002864229223,False
56,4,0.30808754039054215,0.1111111111111111,1.0,1,2,0.4938100040827191,False
57,4,0.693809636044615,0.42857142857142855,1.0,1,2,0.7913946059238827,False
58,3,0.768735313460799,0.5714285714285714,1.0,1,2,0.8830294200546284,False
59,3,0.5891807837468729,0.25,10.0,1,2,0.5121489073200884,False
60,3,0.7819446842353334,1.0,1.2079378774805867,1,2,0.7822620075294288,False
61,4,0.6337806720597652,0.5,1.1,0,2,0.7954298118351376,False
62,4,0.5406501728763193,0.3,1.01931330472103,1,2,0.6721834074231845,False
63,4,0.6410297340153216,0.5714285714285714,1.1428571428571428,1,2,0.7482984574351379,False
64,4,0.9265272896952941,0.8,1.0,1,2,0.9500000000000001,False
65,4,0.622386026251732,0.8333333333333334,1.0150000000000001,1,2,0.8738797255364567,False
66,3,0.8131832105388509,0.8,1.0,0,2,0.9500000000000001,False
67,3,0.7067185429445024,0.5,1.0,1,2,0.8266888993571678,False
68,2,0.3074983269575979,0.4,1.1111111111111112,0,2,0.5339278544103991,False
69,3,0.66565475843013,1.0,1.0,1,2,0.8924234678986273,False
70,4,0.7168702528295924,0.3333333333333333,1.0026995757809487,1,2,0.7615951877206191,False
71,4,0.5748699872320566,0.625,1.0150000000000001,1,2,0.8222657088137387,False
72,4,0.6847109612500832,0.75,1.1,0,1,0.9505904119643214,True
73,4,0.653476061265526,0.42857142857142855,2.0,1,2,0.614108788161416,False
74,4,0.20386011535589812,0.1,1.0381818181818183,1,2,0.4445114780096706,False
75,4,0.6020915855347491,0.5714285714285714,1.0768518518518517,1,2,0.8116106795148926,False
76,2,0.9858164193344919,1.0,1.0,1,2,0.9500000000000001,False
77,3,0.520481427466868,0.25,1.0,2,2,0.5377063260572291,False
78,4,0.7006131751559511,0.42857142857142855,1.0285714285714285,1,2,0.7943104084001696,False
79,2,0.9999999999999997,1.0,1.0010695187165775,1,2,0.9500000000000001,False
80,3,0.9456424081248341,1.0,1.0,1,2,0.9500000000000001,False
81,4,0.4960349797517687,0.3333333333333333,1.0294117647058822,1,2,0.6669514992586946,False
82,2,0.8277526439021795,1.0,1.0,1,2,0.9500000000000001,False
83,4,0.8305024753133192,0.8333333333333334,1.0009624639076034,1,2,0.9500000000000001,False
84,4,0.7632143542564007,0.6666666666666666,1.0,1,2,0.9203458343638543,False
85,4,0.4731511387266197,0.2222222222222222,1.0773584905660378,1,2,0.6108478425230487,False
86,4,0.5616129286319479,0.42857142857142855,1.0,1,2,0.7347388741755968,False
87,3,0.5124170875497198,0.36363636363636365,1.0,1,2,0.6865986652269362,False
88,4,0.6902122944211697,0.375,3.547169811320755,1,2,0.6075314595138348,False
89,2,0.6466126916257536,0.5,1.0,0,2,0.8009292487919898,False
90,4,0.6808524003772473,0.375,1.0017543859649123,1,2,0.7635200763521537,False
93,2,0.9626817806530295,1.0,1.0,1,2,0.9500000000000001,False
94,4,0.8701574142470628,1.0,1.0170000000000001,1,2,0.9500000000000001,False
95,3,0.5540750762200117,0.16666666666666666,1.0,1,2,0.6223813818720686,False
96,4,0.4550759426608735,0.3,1.0,2,2,0.5305087373308506,False
97,4,0.4792203160487996,0.16666666666666666,1.0,1,2,0.5903007703701205,False
98,4,0.7771025311716178,0.5714285714285714,1.0013648771610555,1,2,0.8866153705021219,False
99,4,0.785055093631995,0.7142857142857143,1.0,2,2,0.8385950401279979,False
100,2,0.7903784808607163,0.625,1.0,1,2,0.9146264917974499,False
101,4,0.7838353142323827,0.42857142857142855,1.0,2,2,0.7249770394329261,False
102,2,0.6303429109606302,0.5,1.0666666666666667,0,2,0.7939564856497939,False
103,3,0.8227720153596749,0.8333333333333334,1.0,1,2,0.9500000000000001,False
104,3,0.848607354198306,0.8333333333333334,1.0,1,2,0.9500000000000001,False
105,3,0.8406223367894868,0.7142857142857143,1.0,1,2,0.9500000000000001,False
