cluster_id,supermarkets,product_names,unit_value,unit_type,category,tier,is_known_brand,known_brand,price_min,price_max,price_mean,product_count,supermarket_count,price_range
0,"ASDA,Morrisons,Sains,Tesco","['7UP Zero Sugar Lemon & Lime Cans', '7UP Zero Sugar…']",330.0,ml,drinks,none,True,7Up,3.35,9.5,7.5875,4,4,6.15
1,"ASDA,Morrisons,Sains,Tesco","['Airwaves Menthol & Eucalyptus Sugar Free Chewing Gum 3 Pieces', 'Airwaves Menthol & Eucalyptus…', 'Airwaves Menthol & Eucalyptus Sugar Free Chewing Gum Bottle 46 Pieces', 'Airwaves Menthol & Eucalyptus Chewing Gum x10 Pieces']",-1.0,none,food_cupboard,none,True,Airwaves,1.4,3.0,2.225,4,4,1.6
2,"ASDA,Morrisons,Sains,Tesco","['Airwaves Menthol & Eucalyptus Sugarfree Chewing Gum Multipack 5 Pieces', 'Airwaves Menthol & Eucalyptus Chewi…', 'Airwaves Menthol & Eucalyptus Sugarfree Chewing Gum 10 Pieces']",-1.0,none,food_cupboard,none,True,Airwaves,0.7,3.0,1.7375,4,4,2.3
3,"ASDA,Morrisons,Sains,Tesco","['Baxters Sliced Gherkins Crunchy & Tangy', 'Baxters Sliced Gherkins Crunchy & Sweet', 'Baxters Sliced Gherkins', 'Baxters Crunchy & Tangy Sliced Gherkins']",540.0,g,food_cupboard,none,True,Baxters,1.79,2.5,2.1975,4,4,0.71
4,"ASDA,Morrisons,Sains,Tesco","['Baxters Pickled Baby Beetroot Jar', 'Baxters Sliced Beetroot', 'Baxters Baby Beetroot (*)', 'Baxters Baby Beetroot']",567.0,g,food_cupboard,none,True,Baxters,2.25,2.59,2.3475,4,4,0.33999999999999986
5,"ASDA,Morrisons,Sains,Tesco","['Blue Dragon Fish Sauce', 'Blue Dragon Rich Hoisin Sauce', 'Blue Dragon Sweet Chilli Dipping Sauce 380']",-1.0,none,food_cupboard,none,True,Blue Dragon,1.75,2.0,1.85,4,4,0.25
6,"ASDA,Morrisons,Sains,Tesco","['Cadbury Chocolate Mini Rolls Cakes', 'Cadbury Chocolate Mini Rolls', 'Cadbury Mini Rolls Chocolate Mint']",-1.0,none,bakery,none,True,Cadbury,1.25,2.5,2.0625,4,4,1.25
7,"ASDA,Morrisons,Sains,Tesco","['Cadbury Raspberry Mini Rolls Cakes', 'Cadbury Raspberry Mini Rolls', 'Cadbury Raspberry Mini Roll']",-1.0,none,bakery,none,True,Cadbury,2.0,3.45,2.6125,4,4,1.4500000000000002
8,"ASDA,Morrisons,Sains,Tesco","['Cadbury Dairy Milk 14 Cornflake Cluster Bites', 'Cadbury Dairy Milk Cornflake Cluster Mini Bites', 'Cadbury Dairy Milk Cornflake Cluster Bites']",-1.0,none,bakery,none,True,Cadbury,2.3,2.39,2.3225,4,4,0.0900000000000003
9,"ASDA,Morrisons,Sains,Tesco","['Cadbury Dairy Milk Caramel 14 Flapjack Bites', 'Cadbury Dairy Milk Caramel Layer…', 'Cadbury Dairy Milk Caramel Caramel Flapjack Bites', 'Cadbury Dairy Milk Caramel Flap Jack Bites']",-1.0,none,bakery,none,True,Cadbury,2.3,5.0,2.9749999999999996,4,4,2.7
10,"ASDA,Morrisons,Sains,Tesco","['Cadbury Dairy Milk 14 Brownie Bites', 'Cadbury Dairy Milk Brownie Bites', 'Cadbury Dairy Milk Brownie Bites 14']",-1.0,none,bakery,none,True,Cadbury,2.3,2.39,2.3225,4,4,0.0900000000000003
11,"ASDA,Morrisons,Sains,Tesco","['Cadbury Dairy Milk 14 Mini Cookies', 'Cadbury Dairy Milk Mini Cookies', 'Cadbury Dairy Milk Caramel Mini Cookies']",-1.0,none,bakery,none,True,Cadbury,2.3,2.39,2.3225,4,4,0.0900000000000003
12,"ASDA,Morrisons,Sains,Tesco","['Cadbury Milk Chocolate Mini Rolls Cakes', 'Cadbury Mini Eggs Chocolate Cakes', 'Cadbury Chocolate Mini Rolls Cakes', 'Cadbury Chocolate Mini Roll']",-1.0,none,bakery,none,True,Cadbury,2.0,3.45,2.5125,4,4,1.4500000000000002
13,"ASDA,Morrisons,Sains,Tesco","['Cadbury 5 Chocolate Orange Mini Rolls', 'Cadbury Orange Mini Rolls', 'Cadbury Milk Chocolate Mini Rolls Cakes', 'Cadbury Mini Rolls Chocolate Orange']",-1.0,none,bakery,none,True,Cadbury,1.25,2.5,1.75,4,4,1.25
