cluster_id,product_idx,supermarket,names,category,known_brand_clean,own_brand,tier_type,unit_value,unit_type,pack_quantity,core_product_name,normalized_name,prices_(£),prices_unit_(£),product_type,cluster_size,n_supermarkets,match_type,avg_pairwise_score,AUDIT_same_core_product,AUDIT_weight_ok,AUDIT_tier_ok,AUDIT_notes
228,2338,ASDA,Dr. Oetker White Chocolate Chunks,food_cupboard,Dr. Oetker,False,,100.0,g,,White Chocolate Chunks,white chocolate chunks,1.25,12.5,branded,4,4,branded,0.8491098241098242,,,,
228,31341,Morrisons,Dr. Oetker White Chocolate,food_cupboard,Dr. Oetker,False,,100.0,g,,White Chocolate,white chocolate,1.75,17.5,branded,4,4,branded,0.8491098241098242,,,,
228,38273,Sains,Dr. Oetker White Cooking Chocolate Bar 100g,food_cupboard,Dr. Oetker,False,,100.0,g,,White Cooking Chocolate Bar,white cooking chocolate bar,1.75,17.5,branded,4,4,branded,0.8491098241098242,,,,
228,56160,Tesco,Dr. Oetker White Chocolate 26% Cocoa 100G,food_cupboard,Dr. Oetker,False,,100.0,g,,White Chocolate Cocoa,white chocolate cocoa,1.75,17.5,branded,4,4,branded,0.8491098241098242,,,,
244,2468,ASDA,Betty Crocker Vanilla Buttercream Style Icing,food_cupboard,Betty Crocker,False,,400.0,g,,Vanilla Buttercream Style Icing,vanilla buttercream style icing,3.0,7.5,branded,4,4,branded,1.0,,,,
244,23529,Morrisons,Betty Crocker Vanilla Buttercream Style Icing,food_cupboard,Betty Crocker,False,,403.2,g,,Vanilla Buttercream Style Icing,vanilla buttercream style icing,2.5,6.2,branded,4,4,branded,1.0,,,,
244,33955,Sains,Betty Crocker Vanilla Buttercream Style Icing 400g,food_cupboard,Betty Crocker,False,,400.0,g,,Vanilla Buttercream Style Icing,vanilla buttercream style icing,2.5,6.2,branded,4,4,branded,1.0,,,,
244,53185,Tesco,Betty Crocker Vanilla Buttercream Style Icing 400G,food_cupboard,Betty Crocker,False,,400.0,g,,Vanilla Buttercream Style Icing,vanilla buttercream style icing,3.0,7.5,branded,4,4,branded,1.0,,,,
793,7226,ASDA,Old Mout Cider Pineapple & Raspberry Cider Bottle,drinks,Old Mout,False,,500.0,ml,,Cider Pineapple and Raspberry Cider Bottle,cider pineapple and raspberry cider bottle,2.45,4.9,branded,4,4,branded,0.92647066548475,,,,
793,24798,Morrisons,Old Mout Cider Pineapple & Raspberry Alcohol Free,drinks,Old Mout,False,,500.0,ml,,Cider Pineapple and Raspberry,cider pineapple and raspberry,2.0,4.0,branded,4,4,branded,0.92647066548475,,,,
793,39988,Sains,Old Mout Cider Pineapple & Raspberry Bottle 500ml,drinks,Old Mout,False,,500.0,ml,,Cider Pineapple and Raspberry Bottle,cider pineapple and raspberry bottle,2.45,4.9,branded,4,4,branded,0.92647066548475,,,,
793,60932,Tesco,Old Mout Cider Pineapple & Raspberry Bottle 500ml,drinks,Old Mout,False,,500.0,ml,,Cider Pineapple and Raspberry Bottle,cider pineapple and raspberry bottle,2.5,5.0,branded,4,4,branded,0.92647066548475,,,,
1062,9372,ASDA,Alpro Soya Growing Up Long Life Drink,fresh_food,Alpro,False,,1000.0,ml,,Soya Growing Up Long Life Drink,soya growing up long life drink,2.0,2.0,branded,4,4,branded,0.8662086668618111,,,,
1062,18695,Morrisons,Alpro Oat Long Life Drink,fresh_food,Alpro,False,,1000.0,ml,,Oat Long Life Drink,oat long life drink,1.5,1.5,branded,4,4,branded,0.8662086668618111,,,,
1062,47160,Sains,Alpro Oat Growing Up Long Life Drink 1L,free-from,Alpro,False,,1000.0,ml,,Oat Growing Up Long Life Drink,oat growing up long life drink,1.95,1.95,branded,4,4,branded,0.8662086668618111,,,,
1062,58107,Tesco,Alpro Oat Growing Up Long Life Dairy Free Drink 1-3+ Years 1L,food_cupboard,Alpro,False,,1000.0,ml,,Oat Growing Up Long Life Drink 1-3+ Years,oat growing up long life drink 1 3 years,1.5,1.5,branded,4,4,branded,0.8662086668618111,,,,
1471,13295,ASDA,Angel Delight Banana Instant Dessert Mix,food_cupboard,,False,,58.8,g,,Angel Delight Banana Instant Dessert Mix,angel delight banana instant dessert mix,0.9,15.3,unbranded,4,4,unbranded,0.8609166666666667,,,,
