supermarket,prices_(£),prices_unit_(£),unit,names,date,category,own_brand,is_truncated,original_name,supermarket_brand,tier_type,tier_keyword,known_brand,pack_quantity,pack_pattern,unit_value,unit_type,abv_percentage,unit_inferred,attributes_types,attributes_keywords,descriptors,core_product_name,normalized_name
ASDA,3.3,13.2,kg,Taylors of Harrogate Yorkshire Tea 80 Tea Bags,20240413,drinks,False,False,Taylors of Harrogate Yorkshire Tea 80 Tea Bags,,,,Taylors Of Harrogate,80.0,bag_count,250.0,g,,True,,,,Yorkshire Tea,taylors of harrogate yorkshire tea
ASDA,1.5,0.04,unit,Rombouts Coffee Filter Papers,20240413,drinks,False,False,Rombouts Coffee Filter Papers,,,,,,,,,,False,,,,Rombouts Coffee Filter Papers,rombouts coffee filter papers
ASDA,2.75,48.2,kg,Starbucks By Nespresso Single-Origin Colombia Espresso Coffee Pods 10 Capsules,20240413,drinks,False,False,Starbucks By Nespresso Single-Origin Colombia Espresso Coffee Pods 10 Capsules,,,,Starbucks,10.0,bag_count,57.1,g,,True,,,,By Nespresso Single-Origin Colombia Espresso Coffee Pods,starbucks by nespresso single origin colombia espresso coffee pods
ASDA,2.0,50.0,kg,"Twinings Superblends Detox with Lemon, Ginger and Fennel, 20 Tea Bags",20240413,drinks,False,False,"Twinings Superblends Detox with Lemon, Ginger and Fennel, 20 Tea Bags",,,,Twinings,20.0,bag_count,40.0,g,,True,,,,"Superblends Detox with Lemon, Ginger and Fennel",twinings superblends detox with lemon ginger and fennel
ASDA,5.5,18.3,kg,Twinings The Earl Grey 120 Plant-Based Tea Bags 300g,20240413,drinks,False,False,Twinings The Earl Grey 120 Plant-Based Tea Bags 300g,,,,Twinings,,,300.0,g,,False,diet,plant-based,,The Earl Grey 120 Tea Bags,twinings the earl grey 120 tea bags
ASDA,0.65,6.5,kg,ASDA Stevia Sweetener Tablets,20240413,drinks,True,False,ASDA Stevia Sweetener Tablets,ASDA,standard,,,,,100.0,g,,True,,,,Stevia Sweetener Tablets,stevia sweetener tablets
ASDA,3.5,14.0,kg,Drink Me Spiced Chai Latte,20240413,drinks,False,False,Drink Me Spiced Chai Latte,,,,,,,250.0,g,,True,,,,Drink Me Spiced Chai Latte,drink me spiced chai latte
ASDA,27.0,27.0,unit,Gino D'Acampo Black Fast Boil Kettle 1.7L,20240413,drinks,False,False,Gino D'Acampo Black Fast Boil Kettle 1.7L,,,,,,,1700.0,ml,,False,,,,Gino D'Acampo Black Fast Boil Kettle,gino d acampo black fast boil kettle
ASDA,3.5,3.5,unit,Disney Nightmare Before Christmas Cappucino Mug,20240413,drinks,False,False,Disney Nightmare Before Christmas Cappucino Mug,,,,,,,,,,False,,,,Disney Nightmare Before Christmas Cappucino Mug,disney nightmare before christmas cappucino mug
ASDA,1.5,1.5,unit,George Home Flying Pig Single Mug,20240413,drinks,True,False,George Home Flying Pig Single Mug,George Home,standard,,,,,,,,False,,,,Flying Pig Single Mug,flying pig single mug
ASDA,4.0,4.0,unit,George Home White Reactive Glaze Bubble Mug,20240413,drinks,True,False,George Home White Reactive Glaze Bubble Mug,George Home,standard,,,,,,,,False,,,{'bakery_type': ['white']},White Reactive Glaze Bubble Mug,white reactive glaze bubble mug
ASDA,2.5,2.5,unit,George Home Red Alphabet Glass Mug - N,20240413,drinks,True,False,George Home Red Alphabet Glass Mug - N,George Home,standard,,,,,,,,False,,,,Red Alphabet Glass Mug - N,red alphabet glass mug n
ASDA,3.0,3.0,unit,George Home Blue & White Reactive Glaze 'Dad' Mug,20240413,drinks,True,False,George Home Blue & White Reactive Glaze 'Dad' Mug,George Home,standard,,,,,,,,False,,,{'bakery_type': ['white']},Blue and White Reactive Glaze 'Dad' Mug,blue and white reactive glaze dad mug
ASDA,3.5,3.5,unit,George Home Squirrel Shaped Single Mug,20240413,drinks,True,False,George Home Squirrel Shaped Single Mug,George Home,standard,,,,,,,,False,,,,Squirrel Shaped Single Mug,squirrel shaped single mug
ASDA,2.0,2.0,unit,ASDA Organic Lettuce (Variety may vary),20240413,fresh_food,True,False,ASDA Organic Lettuce (Variety may vary),ASDA,standard,,,,,,,,False,organic,organic,,Lettuce (Variety may vary),lettuce variety may vary
ASDA,0.75,0.75,unit,ASDA Beef Tomato,20240413,fresh_food,True,False,ASDA Beef Tomato,ASDA,standard,,,,,,,,False,,,,Beef Tomato,beef tomato
ASDA,0.9,2.25,kg,ASDA Smooth & Buttery Classic Mash,20240413,fresh_food,True,False,ASDA Smooth & Buttery Classic Mash,ASDA,standard,,,,,400.0,g,,True,,,{'texture': ['smooth']},Smooth and Buttery Classic Mash,smooth and buttery classic mash
ASDA,0.95,3.8,kg,ASDA Mild & Versatile Sliced Mushrooms,20240413,fresh_food,True,False,ASDA Mild & Versatile Sliced Mushrooms,ASDA,standard,,,,,250.0,g,,True,,,"{'flavor': ['mild'], 'form': ['sliced'], 'maturity': ['mild']}",Mild and Versatile Sliced Mushrooms,mild and versatile sliced mushrooms
ASDA,1.1,3.67,kg,ASDA Extra Special Echalion Shallots,20240413,fresh_food,True,False,ASDA Extra Special Echalion Shallots,ASDA Extra Special,premium,Extra Special,,,,300.0,g,,True,,,,Echalion Shallots,echalion shallots
ASDA,1.25,7.3,kg,Ginsters Peppered Steak Slice,20240413,fresh_food,False,False,Ginsters Peppered Steak Slice,,,,Ginsters,,,170.0,g,,True,,,{'cut_meat': ['steak']},Peppered Steak Slice,ginsters peppered steak slice
ASDA,1.69,5.5,kg,Heinz Original Sandwich Spread,20240413,fresh_food,False,False,Heinz Original Sandwich Spread,,,,Heinz,,,300.0,g,,True,,,,Original Sandwich Spread,heinz original sandwich spread
ASDA,2.0,6.5,kg,Oreo Chocolate Sandwich Biscuit Twin Pack,20240413,fresh_food,False,False,Oreo Chocolate Sandwich Biscuit Twin Pack,,,,Oreo,,,300.0,g,,True,,,,Chocolate Sandwich Biscuit Twin Pack,oreo chocolate sandwich biscuit twin pack
ASDA,1.3,3.9,l,Capri-Sun Orange Juice Drink,20240413,fresh_food,False,False,Capri-Sun Orange Juice Drink,,,,,,,330.0,ml,,True,,,,Capri-Sun Orange Juice Drink,capri sun orange juice drink
ASDA,1.6,23.7,kg,Fridge Raiders Slow Roasted Chicken Snack Bites,20240413,fresh_food,False,False,Fridge Raiders Slow Roasted Chicken Snack Bites,,,,Fridge Raiders,,,67.5,g,,True,,,{'cooking_method': ['roasted']},Slow Roasted Chicken Snack Bites,fridge raiders slow roasted chicken snack bites
ASDA,1.5,5.0,kg,Munch Bunch Squashums Yogurt Strawberry 5 x 60g (300g),20240413,fresh_food,False,False,Munch Bunch Squashums Yogurt Strawberry 5 x 60g (300g),,,,Munch Bunch,5.0,count_x_size,300.0,g,,False,,,,Squashums Yogurt Strawberry,munch bunch squashums yogurt strawberry
ASDA,1.75,5.8,kg,ASDA 2 Chicken Tikka Slices,20240413,fresh_food,True,False,ASDA 2 Chicken Tikka Slices,ASDA,standard,,,2.0,leading_count,300.0,g,,True,,,,Chicken Tikka Slices,chicken tikka slices
ASDA,1.75,2.4,l,Happy Monkey Orange & Mango Smoothie,20240413,fresh_food,False,False,Happy Monkey Orange & Mango Smoothie,,,,,,,710.0,ml,,True,,,,Happy Monkey Orange and Mango Smoothie,happy monkey orange and mango smoothie
ASDA,1.95,13.93,kg,Quorn 14 Cocktail Sausages 140g,20240413,fresh_food,False,False,Quorn 14 Cocktail Sausages 140g,,,,Quorn,,,140.0,g,,False,,,,14 Cocktail Sausages,quorn 14 cocktail sausages
ASDA,2.0,1.2,l,ASDA Apple & Blackcurrant Kids Juice Drinks,20240413,drinks,True,False,ASDA Apple & Blackcurrant Kids Juice Drinks,ASDA,standard,,,,,1666.7,ml,,True,,,,Apple and Blackcurrant Kids Juice Drinks,apple and blackcurrant kids juice drinks
ASDA,1.55,3.1,kg,ASDA Sultanas,20240413,food_cupboard,True,False,ASDA Sultanas,ASDA,standard,,,,,500.0,g,,True,,,,Sultanas,sultanas
ASDA,1.25,2.5,kg,ASDA Seedless Raisins,20240413,food_cupboard,True,False,ASDA Seedless Raisins,ASDA,standard,,,,,500.0,g,,True,,,{'prep_produce': ['seedless']},Seedless Raisins,seedless raisins
ASDA,1.0,1.0,unit,George Home Sieve,20240413,food_cupboard,True,False,George Home Sieve,George Home,standard,,,,,,,,False,,,,Sieve,sieve
ASDA,1.75,15.2,kg,Dr. Oetker Chocolatey Caramel Crunch Sprinkles Mix,20240413,food_cupboard,False,False,Dr. Oetker Chocolatey Caramel Crunch Sprinkles Mix,,,,Dr. Oetker,,,115.1,g,,True,,,,Chocolatey Caramel Crunch Sprinkles Mix,dr oetker chocolatey caramel crunch sprinkles mix
ASDA,1.75,6.0,kg,ASDA Chocolate Cupcake Kit 290g,20240413,food_cupboard,True,False,ASDA Chocolate Cupcake Kit 290g,ASDA,standard,,,,,290.0,g,,False,,,,Chocolate Cupcake Kit,chocolate cupcake kit
ASDA,1.25,12.5,kg,Dr Oetker Milk Chocolate 100g,20240413,food_cupboard,False,False,Dr Oetker Milk Chocolate 100g,,,,Dr Oetker,,,100.0,g,,False,,,,Milk Chocolate,dr oetker milk chocolate
ASDA,5.5,5.5,unit,George Home Disney Stitch Love Rolling Pin,20240413,food_cupboard,True,False,George Home Disney Stitch Love Rolling Pin,George Home,standard,,,,,,,,False,,,,Disney Stitch Love Rolling Pin,disney stitch love rolling pin
ASDA,3.0,7.06,kg,Betty Crocker Velvety Vanilla Cake Mix,20240413,food_cupboard,False,False,Betty Crocker Velvety Vanilla Cake Mix,,,,Betty Crocker,,,425.0,g,,True,,,,Velvety Vanilla Cake Mix,betty crocker velvety vanilla cake mix
ASDA,3.0,7.5,kg,Cadbury Fudge Flavour Icing,20240413,food_cupboard,False,False,Cadbury Fudge Flavour Icing,,,,Cadbury,,,400.0,g,,True,,,,Fudge Flavour Icing,cadbury fudge flavour icing
ASDA,2.0,8.0,kg,Country Life British Salted Butter,20240413,food_cupboard,False,False,Country Life British Salted Butter,,,,Country Life,,,250.0,g,,True,,,,British Salted Butter,country life british salted butter
ASDA,2.15,10.75,kg,Lurpak Unsalted Butter,20240413,food_cupboard,False,False,Lurpak Unsalted Butter,,,,Lurpak,,,200.0,g,,True,,,,Unsalted Butter,lurpak unsalted butter
ASDA,2.2,4.4,l,Fever-Tree Mediterranean Tonic Water,20240413,drinks,False,False,Fever-Tree Mediterranean Tonic Water,,,,Fever-tree,,,500.0,ml,,True,,,,Mediterranean Tonic Water,fever tree mediterranean tonic water
ASDA,0.65,0.7,l,ASDA Diet Indian Tonic Water with Lime,20240413,drinks,True,False,ASDA Diet Indian Tonic Water with Lime,ASDA,standard,,,,,946.0,ml,,True,,,,Diet Indian Tonic Water with Lime,diet indian tonic water with lime
ASDA,1.3,5.2,l,J2O Mocktails White Peach & Mango Daiquiri 250ml,20240413,drinks,False,False,J2O Mocktails White Peach & Mango Daiquiri 250ml,,,,J2o,,,250.0,ml,,False,,,{'bakery_type': ['white']},Mocktails White Peach and Mango Daiquiri,j2o mocktails white peach and mango daiquiri
ASDA,1.4,6.36,kg,Ben's Original Egg Fried Rice Microwavable Rice,20240413,food_cupboard,False,False,Ben's Original Egg Fried Rice Microwavable Rice,,,,Ben's Original,,,220.0,g,,True,,,{'cooking_method': ['fried']},Egg Fried Rice Microwavable Rice,ben s original egg fried rice microwavable rice
ASDA,1.0,4.0,kg,Tilda Lemon Basmati Rice,20240413,food_cupboard,False,False,Tilda Lemon Basmati Rice,,,,Tilda,,,250.0,g,,True,,,,Lemon Basmati Rice,tilda lemon basmati rice
ASDA,2.0,8.0,kg,The Gym Kitchen Barbeque Lentils,20240413,food_cupboard,False,False,The Gym Kitchen Barbeque Lentils,,,,,,,250.0,g,,True,,,,The Gym Kitchen Barbeque Lentils,the gym kitchen barbeque lentils
ASDA,0.69,1.38,kg,ASDA Farfalle,20240413,food_cupboard,True,False,ASDA Farfalle,ASDA,standard,,,,,500.0,g,,True,,,,Farfalle,farfalle
