ensemble_cluster_id,cluster_size,min_cos,min_jac,size_ratio,n_brands,n_cats,confidence_score,likely_good
6,4,0.38225182371160926,0.2222222222222222,1.008888888888889,0,2,0.5718909932309014,False
7,4,0.740083847509934,0.6,1.0,1,2,0.8826549822661623,False
8,4,0.3872396992337889,0.18181818181818182,1.0,0,2,0.5571936373339615,False
9,4,0.46071026333775106,0.3333333333333333,1.0526315789473684,1,2,0.6518123350812585,False
10,4,0.7171620297341903,0.5,1.0,1,2,0.8311646794098911,False
11,3,0.7265978496606723,0.5,1.0,1,2,0.8352086022355264,False
13,4,0.10460143189977571,0.125,1.0,0,2,0.41238870890942764,False
14,4,0.7020197308821353,0.42857142857142855,1.0,1,2,0.7949132179971058,False
15,4,0.21396322896051806,0.2,1.0318181818181817,0,2,0.49050805050688867,False
16,4,0.6408407452963099,0.6,1.0,0,2,0.840122224174609,False
17,3,0.40993857938020695,0.6,1.0,1,2,0.7411641530677079,False
18,4,0.8703955203828584,0.8,1.0,1,2,0.9500000000000001,False
19,3,0.45732900792662307,0.6,1.0,1,2,0.7614743367304576,False
21,4,0.9581955283208538,1.0,1.0,1,2,0.9500000000000001,False
23,4,0.955143898928578,1.0,1.0,1,2,0.9500000000000001,False
25,4,0.7905807402663928,0.6666666666666666,1.0,1,2,0.9320742855109939,False
29,4,0.4873996822090589,0.5,1.1764705882352942,1,2,0.6526951018991205,False
30,4,0.4563817053850575,0.42857142857142855,1.135,1,2,0.609639778498358,False
33,4,0.6892291836349475,0.625,1.0,1,2,0.8712767929864061,False
36,4,0.8894216992896006,0.8333333333333334,1.0,1,2,0.9500000000000001,False
38,4,0.18906034556775483,0.16666666666666666,1.0748155953635405,1,2,0.46594649730681553,False
40,3,0.6116225963439894,0.375,1.0,1,2,0.7338501603379003,False
41,4,0.00332461553513379,0.0,1.135,1,2,0.32,False
42,4,0.48962328958549095,0.5,3.0,1,2,0.57364807648902,False
43,4,0.12438736855634605,0.25,7.5,1,2,0.3129517293812912,False
44,4,0.4413485866245937,0.25,1.0,1,2,0.6087922514105402,False
45,4,0.32909198420830016,0.2222222222222222,1.0,0,2,0.5491082048723404,False
48,4,0.02504909255010743,0.0,1.0,1,2,0.39999999999999997,False
50,4,0.7540817006445574,1.0,1.0,1,2,0.9303207288476675,False
51,4,0.08459286115544636,0.0,1.0666666666666667,0,2,0.39999999999999997,False
54,4,0.794111133431064,1.0,1.0,1,2,0.9474762000418847,False
59,4,0.693515872955922,0.42857142857142855,1.0,1,2,0.7912687074573,False
60,4,0.15294611136506914,0.14285714285714285,1.0,1,2,0.4405483334421725,False
61,3,0.8092615875841295,0.5,1.0,1,2,0.8666666666666668,False
63,4,0.015050719132141118,0.0,1.1,0,1,0.44999999999999996,False
64,4,0.5419015015270509,0.3,1.01931330472103,1,2,0.6727196911306409,False
66,4,0.9274902631519175,0.8,1.0,1,2,0.9500000000000001,False
67,4,0.5220705275146956,0.5,1.0,0,2,0.7475540356015363,False
71,4,0.6502609652251692,0.75,1.1,0,1,0.935826127953644,True
73,4,0.20547151066287547,0.1,1.0381818181818183,1,2,0.4452020759983752,False
74,4,0.6572316565394031,0.5714285714285714,1.1574074074074074,1,2,0.7552421385168872,False
75,3,0.7467160405460145,0.5,1.0,1,2,0.8438306840435301,False
79,4,0.5798836816545164,0.4444444444444444,1.106951871657754,1,2,0.6691829535133114,False
80,4,0.7024779657077697,0.42857142857142855,1.0285714285714285,1,2,0.795109604350949,False
82,4,0.49554487073595566,0.3333333333333333,1.0294117647058822,1,2,0.6667414525376318,False
83,4,0.19840188465469086,0.3333333333333333,1.5,1,2,0.379394458502804,False
84,4,0.8305690409059905,0.8333333333333334,1.0009624639076034,1,2,0.9500000000000001,False
85,4,0.7594218391195837,0.6666666666666666,1.0,1,2,0.9187204707337898,False
86,4,0.44501038518402214,0.2222222222222222,1.0773584905660378,1,2,0.5987875195762212,False
87,4,0.7026846414769155,0.5714285714285714,1.0,1,2,0.8547219892043924,False
88,4,0.6561544726828548,0.375,3.547169811320755,1,2,0.592935250197414,False
90,4,0.6817246007961083,0.375,1.0017543859649123,1,2,0.7638938765316655,False
94,4,0.4215488104926077,0.2,1.0,1,2,0.5794732997349271,False
95,4,0.8693920139019059,1.0,1.0170000000000001,1,2,0.9500000000000001,False
99,4,0.2627968403203988,0.2857142857142857,1.0,1,2,0.5471510268039805,False
101,4,0.7802847379853682,0.5714285714285714,1.0013648771610555,1,2,0.8879791734223007,False
103,4,0.09425362114300376,0.1,1.135,1,2,0.32,False
106,4,0.08636583503248159,0.125,1.0947368421052632,1,2,0.41041666666666665,False
107,4,0.006192570981746597,0.0,1.0,1,2,0.39999999999999997,False
