cluster_id,product_idx,supermarket,names,category,known_brand_clean,own_brand,tier_type,unit_value,unit_type,pack_quantity,core_product_name,normalized_name,prices_(£),prices_unit_(£),product_type,cluster_size,n_supermarkets,match_type,avg_pairwise_score,AUDIT_same_core_product,AUDIT_weight_ok,AUDIT_tier_ok,AUDIT_notes
207,1499,ASDA,Dairylea Lunchers Ham 'N' Cheese,fresh_food,Dairylea,False,,75.0,g,,Lunchers Ham 'N' Cheese,dairylea lunchers ham n cheese,1.25,16.89,branded,4,4,branded,0.9239495798319327,,,,
207,19263,Morrisons,Dairylea Lunchers Ham & Cheese Snacks,fresh_food,Dairylea,False,,75.0,g,,Lunchers Ham and Cheese Snacks,dairylea lunchers ham and cheese snacks,1.25,16.87,branded,4,4,branded,0.9239495798319327,,,,
207,44273,Sains,Dairylea Lunchers Ham & Cheese Snacks 74g,fresh_food,Dairylea,False,,74.0,g,,Lunchers Ham and Cheese Snacks,dairylea lunchers ham and cheese snacks,1.6,21.59,branded,4,4,branded,0.9239495798319327,,,,
207,58800,Tesco,Dairylea Lunchers Ham & Cheese Snacks 74g,fresh_food,Dairylea,False,,74.0,g,,Lunchers Ham and Cheese Snacks,dairylea lunchers ham and cheese snacks,1.6,21.62,branded,4,4,branded,0.9239495798319327,,,,
349,15633,ASDA,Cadbury Creme Eggs Chocolate 10 Pack,fresh_food,Cadbury,False,,400.0,g,10.0,Creme Eggs Chocolate,cadbury creme eggs chocolate,5.0,12.5,branded,4,4,branded,0.9037050668629616,,,,
349,22968,Morrisons,Cadbury Milk Chocolate Spread,food_cupboard,Cadbury,False,,400.0,g,,Milk Chocolate Spread,cadbury milk chocolate spread,3.49,8.7,branded,4,4,branded,0.9037050668629616,,,,
349,49078,Sains,Cadbury Creme Egg Chocolate 10pk 400G,food_cupboard,Cadbury,False,,400.0,g,10.0,Creme Egg Chocolate,cadbury creme egg chocolate,5.5,13.8,branded,4,4,branded,0.9037050668629616,,,,
349,52757,Tesco,Cadbury Smooth Chocolate Spread 400G,food_cupboard,Cadbury,False,,400.0,g,,Smooth Chocolate Spread,cadbury smooth chocolate spread,3.0,7.5,branded,4,4,branded,0.9037050668629616,,,,
832,4404,ASDA,Jameson Triple Distilled Blended Irish Whiskey,drinks,Jameson,False,,1000.0,ml,,Triple Distilled Blended Irish Whiskey,jameson triple distilled blended irish whiskey,28.0,28.0,branded,4,4,branded,0.9228235294117647,,,,
832,24422,Morrisons,Jameson Triple Distilled Blended Irish Whiskey,drinks,Jameson,False,,1000.0,ml,,Triple Distilled Blended Irish Whiskey,jameson triple distilled blended irish whiskey,27.5,27.5,branded,4,4,branded,0.9228235294117647,,,,
832,39858,Sains,Jameson Triple Distilled Blended Irish Whiskey 1L,drinks,Jameson,False,,1000.0,ml,,Triple Distilled Blended Irish Whiskey,jameson triple distilled blended irish whiskey,32.5,32.5,branded,4,4,branded,0.9228235294117647,,,,
832,62975,Tesco,Jameson Triple Distilled Irish Whiskey 1 Litre,drinks,Jameson,False,,1000.0,ml,,Triple Distilled Irish Whiskey,jameson triple distilled irish whiskey,32.5,32.5,branded,4,4,branded,0.9228235294117647,,,,
895,11450,ASDA,Coppa Cocktails On the Beach 70cl,drinks,,False,,700.0,ml,,Coppa Cocktails On the Beach,coppa cocktails on the beach,10.0,14.29,unbranded,4,4,unbranded,1.0,,,,
895,25737,Morrisons,Funkin Cocktails Strawberry Daiquiri,drinks,,False,,700.0,ml,,Funkin Cocktails Strawberry Daiquiri,funkin cocktails strawberry daiquiri,9.5,13.57,unbranded,4,4,unbranded,1.0,,,,
895,47013,Sains,Funkin Cocktails Strawberry Daiquiri 70cl,drinks,,False,,700.0,ml,,Funkin Cocktails Strawberry Daiquiri,funkin cocktails strawberry daiquiri,9.5,13.57,unbranded,4,4,unbranded,1.0,,,,
895,56643,Tesco,Coppa Cocktails On The Beach - 70cl,drinks,,False,,700.0,ml,,Coppa Cocktails On The Beach,coppa cocktails on the beach,12.0,12.0,unbranded,4,4,unbranded,1.0,,,,
1242,6603,ASDA,ASDA Roast Chicken Drumsticks,fresh_food,,True,standard,450.0,g,,Roast Chicken Drumsticks,roast chicken drumsticks,2.49,5.5,own_brand,4,4,own_brand,0.9147840531561462,,,,
1242,28245,Morrisons,Morrisons Roast Chicken Drumsticks,fresh_food,,True,standard,425.0,g,,Roast Chicken Drumsticks,roast chicken drumsticks,2.99,6.95,own_brand,4,4,own_brand,0.9147840531561462,,,,
1242,46097,Sains,Sainsbury's Roast British Cooked Chicken Drumsticks 430g,fresh_food,,True,standard,430.0,g,,Roast British Cooked Chicken Drumsticks,roast british cooked chicken drumsticks,3.0,7.0,own_brand,4,4,own_brand,0.9147840531561462,,,,
1242,53081,Tesco,Tesco Roast Chicken Drumsticks 430g,fresh_food,,True,standard,430.0,g,,Roast Chicken Drumsticks,roast chicken drumsticks,3.5,8.1,own_brand,4,4,own_brand,0.9147840531561462,,,,
1371,7422,ASDA,Philadelphia Intense Herbes de Provence,fresh_food,Philadelphia,False,,140.0,g,,Intense Herbes de Provence,philadelphia intense herbes de provence,2.25,16.07,branded,4,4,branded,0.934375,,,,
1371,19071,Morrisons,Philadelphia Intense Garlic & Herb Soft Cream Cheese,fresh_food,Philadelphia,False,,140.0,g,,Intense Garlic and Herb Soft Cream Cheese,philadelphia intense garlic and herb soft cream cheese,1.75,12.5,branded,4,4,branded,0.934375,,,,
1371,47000,Sains,Philadelphia Intense Herbes De Provence Soft Cheese 140g,fresh_food,Philadelphia,False,,140.0,g,,Intense Herbes De Provence Soft Cheese,philadelphia intense herbes de provence soft cheese,1.75,12.5,branded,4,4,branded,0.934375,,,,
1371,57300,Tesco,Philadelphia Intense Garlic & Herb Soft Cream Cheese 140G,fresh_food,Philadelphia,False,,140.0,g,,Intense Garlic and Herb Soft Cream Cheese,philadelphia intense garlic and herb soft cream cheese,2.25,16.07,branded,4,4,branded,0.934375,,,,
1460,7899,ASDA,Idahoan Perfect Mash Cheddar Cheese Flavoured,food_cupboard,Idahoan,False,,110.0,g,,Perfect Mash Cheddar Cheese Flavoured,idahoan perfect mash cheddar cheese flavored,1.0,9.17,branded,4,4,branded,0.8805727554179565,,,,
1460,23058,Morrisons,Idahoan Perfect Mash Cheddar Cheese (109g),food_cupboard,Idahoan,False,,109.0,g,,Perfect Mash Cheddar Cheese,idahoan perfect mash cheddar cheese,1.69,15.5,branded,4,4,branded,0.8805727554179565,,,,
1460,34864,Sains,Idahoan Perfect Mash Cheddar Cheese Flavoured 109g,food_cupboard,Idahoan,False,,109.0,g,,Perfect Mash Cheddar Cheese Flavoured,idahoan perfect mash cheddar cheese flavored,1.2,11.01,branded,4,4,branded,0.8805727554179565,,,,
1460,56445,Tesco,Idahoan Cheese Mash 109G,food_cupboard,Idahoan,False,,109.0,g,,Cheese Mash,idahoan cheese mash,1.2,11.01,branded,4,4,branded,0.8805727554179565,,,,
1488,12512,ASDA,Terry's Chocolate Orange Milk,food_cupboard,Terry's,False,,160.0,g,,Chocolate Orange Milk,terry s chocolate orange milk,1.5,9.5,branded,4,4,branded,0.9125,,,,
1488,29238,Morrisons,Terry's Chocolate Orange Mini Eggs Bag,food_cupboard,Terry's,False,,80.0,g,,Chocolate Orange Mini Eggs Bag,terry s chocolate orange mini eggs bag,1.0,12.5,branded,4,4,branded,0.9125,,,,
1488,47634,Sains,Terry's Chocolate Orange Mini Eggs 80g,food_cupboard,Terry's,False,,80.0,g,,Chocolate Orange Mini Eggs,terry s chocolate orange mini eggs,1.25,15.6,branded,4,4,branded,0.9125,,,,
