cluster_id,cluster_size,n_supermarkets,supermarkets_present,category,match_type,known_brand,tier_type,unit_value,unit_type,pack_quantity,core_product_name_consensus,avg_pairwise_score,min_pairwise_score
0,4,4,ASDA|Morrisons|Sains|Tesco,drinks,branded,Tassimo,,239.95,g,8.0,Cadbury Hot Chocolate Pods,0.9492909028017986,0.8985818056035972
1,4,4,ASDA|Morrisons|Sains|Tesco,drinks,branded,Kenco,,200.0,g,,Decaff Instant Coffee,1.0,1.0
2,4,4,ASDA|Morrisons|Sains|Tesco,drinks,branded,Kenco,,200.0,g,,Rich Instant Coffee,0.9171428571428571,0.8342857142857142
3,4,4,ASDA|Morrisons|Sains|Tesco,drinks,branded,Kenco,,200.0,g,,Rich Instant Coffee,0.9171428571428571,0.8342857142857142
4,4,4,ASDA|Morrisons|Sains|Tesco,drinks,branded,Lavazza,,250.0,g,,Qualità Rossa Ground Coffee,1.0,1.0
5,4,4,ASDA|Morrisons|Sains|Tesco,drinks,branded,Illy,,250.0,g,,Espresso Ground Coffee,0.8894736842105263,0.8342105263157894
6,4,4,ASDA|Morrisons|Sains|Tesco,drinks,branded,Lavazza,,250.0,g,,Caffè Espresso Coffee Beans,0.8378451178451178,0.7567676767676769
7,4,4,ASDA|Morrisons|Sains|Tesco,drinks,branded,Lavazza,,250.0,g,,Crema E Gusto Coffee,0.9214017521902379,0.8428035043804756
8,4,4,ASDA|Morrisons|Sains|Tesco,drinks,branded,Kenco,,149.9,g,,Smooth Instant Coffee Refill,0.9785714285714285,0.9571428571428571
9,4,4,ASDA|Morrisons|Sains|Tesco,drinks,branded,Kenco,,149.9,g,,Rich Instant Coffee Refill,0.9766666666666666,0.9533333333333333
10,4,4,ASDA|Morrisons|Sains|Tesco,drinks,branded,Nescafe,,200.0,g,,Original Decaff Instant Coffee,1.0,1.0
11,4,4,ASDA|Morrisons|Sains|Tesco,drinks,branded,Kenco,,149.9,g,,Decaff Instant Coffee Refill,0.9785714285714285,0.9571428571428571
12,4,4,ASDA|Morrisons|Sains|Tesco,drinks,branded,Nescafe,,90.0,g,,Azera Americano Instant Coffee,0.888361080281169,0.8574361820199778
13,4,4,ASDA|Morrisons|Sains|Tesco,drinks,branded,Douwe Egberts,,190.05,g,,Pure Gold Instant Coffee,0.8512013578407022,0.7844444444444445
14,4,4,ASDA|Morrisons|Sains|Tesco,drinks,branded,Douwe Egberts,,190.05,g,,Pure Gold Instant Coffee,0.8438831310715447,0.7844444444444445
15,4,4,ASDA|Morrisons|Sains|Tesco,drinks,branded,Kenco,,194.95,g,,Gold Indulgence Instant Coffee,1.0,1.0
16,4,4,ASDA|Morrisons|Sains|Tesco,drinks,branded,Kenco,,100.0,g,,Millicano Decaff Instant Coffee,0.9410440613026819,0.882088122605364
17,4,4,ASDA|Morrisons|Sains|Tesco,drinks,branded,Kenco,,95.0,g,,Millicano Intense Instant Coffee,0.9427027027027025,0.8854054054054052
18,4,4,ASDA|Morrisons|Sains|Tesco,drinks,branded,Costa,,199.85,g,,Coffee Mocha Italian Sign…,0.8112620697261125,0.771586143797494
19,4,4,ASDA|Morrisons|Sains|Tesco,drinks,branded,Costa,,199.85,g,,Mocha Italia Signat…,0.8021954560541174,0.7487722676937891
20,4,4,ASDA|Morrisons|Sains|Tesco,drinks,branded,Twinings,,199.9,g,80.0,Green Tea,0.9510869565217391,0.9021739130434783
21,4,4,ASDA|Morrisons|Sains|Tesco,drinks,branded,Tetley,,100.0,g,50.0,Pure Green Tea,0.8752969488902993,0.8082251082251082
22,4,4,ASDA|Morrisons|Sains|Tesco,drinks,branded,Tetley,,100.0,g,50.0,Green Tea Lemon,0.8497385947385947,0.7980519480519481
23,4,4,ASDA|Morrisons|Sains|Tesco,drinks,branded,Twinings,,50.0,g,20.0,Green Tea,0.8853856942496494,0.8112903225806452
24,4,4,ASDA|Morrisons|Sains|Tesco,drinks,branded,Twinings,,40.0,g,20.0,Mint Green Tea,0.896475155279503,0.7792857142857142
25,4,4,ASDA|Morrisons|Sains|Tesco,drinks,branded,Twinings,,40.0,g,20.0,Lemon Green Tea,0.9094827586206895,0.8068965517241379
26,4,4,ASDA|Morrisons|Sains|Tesco,drinks,branded,Lavazza,,499.85,g,,Decaf Coffee Beans,0.9822072072072072,0.9644144144144144
27,4,4,ASDA|Morrisons|Sains|Tesco,drinks,branded,Twinings,,40.0,g,20.0,Peach and Orange,0.9190883430013864,0.8843713278495886
28,4,4,ASDA|Morrisons|Sains|Tesco,drinks,branded,Lavazza,,250.0,g,,Decaffeinated Ground Coffee,0.9611111111111109,0.922222222222222
29,4,4,ASDA|Morrisons|Sains|Tesco,drinks,branded,Kenco,,162.625,g,8.0,Iced Hot Vanilla Latte…,0.9070909586867034,0.8663056092843326
30,4,4,ASDA|Morrisons|Sains|Tesco,drinks,branded,Tassimo,,259.7,g,8.0,Kenco Cappucc…,0.8719512195121951,0.7439024390243902
31,4,4,ASDA|Morrisons|Sains|Tesco,drinks,branded,Kenco,,162.625,g,8.0,Iced Hot Salted Caramel Ins…,0.8804161970116419,0.8292279411764705
32,4,4,ASDA|Morrisons|Sains|Tesco,drinks,branded,Lavazza,,1000.8,g,,Qualità Rossa Coffee Beans,1.0,1.0
33,4,4,ASDA|Morrisons|Sains|Tesco,drinks,branded,Tassimo,,108.025,g,12.0,Costa Americano Coffee Pods,1.0,1.0
34,4,4,ASDA|Morrisons|Sains|Tesco,drinks,branded,Twinings,,200.0,g,80.0,Assam,0.893421052631579,0.786842105263158
35,4,4,ASDA|Morrisons|Sains|Tesco,drinks,branded,Tassimo,,103.975,g,16.0,Kenco Americano Decaff Pods,0.948297604035309,0.8965952080706179
36,4,4,ASDA|Morrisons|Sains|Tesco,drinks,branded,Lavazza,,999.25,g,,Cafe Espresso Coffee Beans,0.8972804972804972,0.8459207459207458
37,4,4,ASDA|Morrisons|Sains|Tesco,drinks,branded,Douwe Egberts,,190.05,g,,Pure Decaf Instant Coffee,0.9828496732026143,0.9742745098039214
38,4,4,ASDA|Morrisons|Sains|Tesco,drinks,branded,Tassimo,,203.125,g,6.0,Costa Caramel Latte Coffee Pods,1.0,1.0
39,4,4,ASDA|Morrisons|Sains|Tesco,drinks,branded,Tetley,,250.0,g,80.0,Decaf,0.8249031670084301,0.7515037593984963
40,4,4,ASDA|Morrisons|Sains|Tesco,drinks,branded,Tick Tock,,89.92500000000001,g,40.0,Rooibos Tea,0.8425696664406341,0.7626984126984127
