cluster_id,product_idx,supermarket,names,category,known_brand_clean,own_brand,tier_type,unit_value,unit_type,pack_quantity,core_product_name,normalized_name,prices_(£),prices_unit_(£),product_type,cluster_size,n_supermarkets,match_type,avg_pairwise_score,AUDIT_same_core_product,AUDIT_weight_ok,AUDIT_tier_ok,AUDIT_notes
2,9,ASDA,Nesquik Strawberry Flavoured Milkshake Powder,drinks,,False,,500.0,g,,Nesquik Strawberry Flavoured Milkshake Powder,nesquik strawberry flavored milkshake powder,3.25,6.5,unbranded,2,2,unbranded,0.9695652173913043,,,,
2,362,Tesco,Nesquik Strawberry Flavoured Milkshake Powder Tub 500g,drinks,,False,,500.0,g,,Nesquik Strawberry Flavoured Milkshake Powder Tub,nesquik strawberry flavored milkshake powder tub,3.5,7.0,unbranded,2,2,unbranded,0.9695652173913043,,,,
3,53,Morrisons,Brancott Estate Sauvignon Blanc White Wine,drinks,Brancott Estate,False,,752.1,ml,,Sauvignon Blanc White Wine,sauvignon blanc white wine,10.5,13.96,branded,2,2,branded,1.0,,,,
3,42,Sains,Brancott Estate Sauvignon Blanc White Wine 75cl,drinks,Brancott Estate,False,,750.0,ml,,Sauvignon Blanc White Wine,sauvignon blanc white wine,8.0,10.64,branded,2,2,branded,1.0,,,,
4,479,Sains,"Batchelors Super Noodles Pot, BBQ Beef 75g",food_cupboard,Batchelors,False,,75.0,g,,"Super Noodles Pot, BBQ Beef",super noodles pot bbq beef,0.8,10.66,branded,2,2,branded,1.0,,,,
4,125,Tesco,Batchelors Super Noodles Pot Bbq Beef 75G,food_cupboard,Batchelors,False,,75.0,g,,Super Noodles Pot Bbq Beef,super noodles pot bbq beef,0.9,12.0,branded,2,2,branded,1.0,,,,
5,278,ASDA,Nando's Peri-Peri Medium Quick Marinade,food_cupboard,Nando'S,False,,263.2,g,,Peri-Peri Medium Quick Marinade,peri peri medium quick marinade,2.0,7.6,branded,2,2,cross_bucket,1.0,,,,
5,172,Tesco,Nandos Peri Peri Quick Marinade Medium 262G,food_cupboard,Nandos,False,,262.0,g,,Peri Peri Quick Marinade Medium,peri peri quick marinade medium,2.5,9.5,branded,2,2,cross_bucket,1.0,,,,
6,628,ASDA,ASDA Meal For One Macaroni Cheese 400g,fresh_food,,True,standard,400.0,g,,Macaroni Cheese,macaroni cheese,3.25,8.12,own_brand,2,2,own_brand,1.0,,,,
6,282,Tesco,Tesco Macaroni Cheese 400G,fresh_food,,True,standard,400.0,g,,Macaroni Cheese,macaroni cheese,3.25,8.12,own_brand,2,2,own_brand,1.0,,,,
7,409,ASDA,ASDA White Black & Red Quinoa,food_cupboard,,True,standard,300.0,g,,White Black and Red Quinoa,white black and red quinoa,3.0,10.0,own_brand,2,2,own_brand,0.9076923076923076,,,,
7,306,Sains,Sainsbury's White Red & Black Quinoa 300g,food_cupboard,,True,standard,300.0,g,,White Red and Black Quinoa,white red and black quinoa,3.0,10.0,own_brand,2,2,own_brand,0.9076923076923076,,,,
8,354,Sains,Wasabi Home Bento Spicy Korean Chicken Pops 150g,fresh_food,Wasabi,False,,150.0,g,,Home Bento Spicy Korean Chicken Pops,home bento spicy korean chicken pops,2.75,18.33,branded,2,2,branded,0.8737704918032787,,,,
8,702,Tesco,Wasabi Spicy Korean Chicken Pops 150g,fresh_food,Wasabi,False,,150.0,g,,Spicy Korean Chicken Pops,spicy korean chicken pops,2.7,18.0,branded,2,2,branded,0.8737704918032787,,,,
9,378,Morrisons,Milky Way Magic Stars Milk Ch…,food_cupboard,Milky Way,False,,100.0,g,,Magic Stars Milk Ch…,magic stars milk ch,1.65,16.5,branded,2,2,branded,0.8088992974238876,,,,
9,522,Sains,Milky Way Magic Stars Milk Chocolate Bites Pouch Bag 100g,food_cupboard,Milky Way,False,,100.0,g,,Magic Stars Milk Chocolate Bites Pouch Bag,magic stars milk chocolate bites pouch bag,1.65,16.5,branded,2,2,branded,0.8088992974238876,,,,
10,633,Morrisons,Castello Danish Blue Cheese,fresh_food,Castello,False,,150.0,g,,Danish Blue Cheese,danish blue cheese,2.5,16.67,branded,2,2,branded,0.8913793103448275,,,,
10,394,Tesco,Castello Blue Cheese 150G,fresh_food,Castello,False,,150.0,g,,Blue Cheese,blue cheese,2.5,16.67,branded,2,2,branded,0.8913793103448275,,,,
11,796,ASDA,Belvita Breakfast Biscuits Soft Bakes Filled Strawberry 5pk,food_cupboard,Belvita,False,,250.0,g,5.0,Breakfast Biscuits Soft Bakes Filled Strawberry,breakfast biscuits soft bakes filled strawberry,2.95,11.8,branded,2,2,branded,0.8457142857142856,,,,
11,848,Morrisons,BelVita Breakfast Biscuits Soft…,food_cupboard,Belvita,False,,250.0,g,,Breakfast Biscuits Soft…,breakfast biscuits soft,1.75,7.0,branded,2,2,branded,0.8457142857142856,,,,
12,995,Morrisons,I Can't Believe It's Not Butter Original Spread,fresh_food,I Can'T Believe It'S Not Butter,False,,450.5,g,,Original Spread,original spread,1.5,3.33,branded,2,2,branded,1.0,,,,
12,885,Tesco,I Can't Believe It's Not Butter Original Spread 450G,fresh_food,I Can'T Believe It'S Not Butter,False,,450.0,g,,Original Spread,original spread,1.25,2.78,branded,2,2,branded,1.0,,,,
