cluster_id,cluster_size,n_supermarkets,supermarkets_present,category,match_type,known_brand,tier_type,unit_value,unit_type,pack_quantity,core_product_name_consensus,avg_pairwise_score,min_pairwise_score
0,3,3,ASDA|Morrisons|Sains,drinks,completion,Monster,,2000.0,ml,4.0,Energy Drink Ultra,0.8276884753901561,0.774764705882353
1,3,3,ASDA|Morrisons|Tesco,frozen,completion,Chicago Town,,635.0,g,,Large Takeaway Cheese Pizza,0.7352059073145698,0.7217916847590099
2,2,2,ASDA|Tesco,drinks,branded,Nesquik,,500.0,g,,Strawberry Flavoured Milkshake Powder Tub,0.963157894736842,0.963157894736842
3,2,2,Morrisons|Sains,drinks,branded,Brancott Estate,,750.0,ml,,Sauvignon Blanc White Wine,1.0,1.0
4,2,2,Sains|Tesco,food_cupboard,branded,Batchelors,,75.0,g,,"Super Noodles Pot, BBQ Beef",1.0,1.0
5,2,2,ASDA|Tesco,fresh_food,own_brand,,standard,400.0,g,,Macaroni Cheese,1.0,1.0
6,2,2,ASDA|Sains,food_cupboard,own_brand,,standard,300.0,g,,White Black and Red Quinoa,0.9076923076923076,0.9076923076923076
7,2,2,Sains|Tesco,fresh_food,branded,Wasabi,,150.0,g,,Home Bento Spicy Korean Chicken Pops,0.8737704918032787,0.8737704918032787
8,2,2,Morrisons|Sains,food_cupboard,branded,Milky Way,,100.0,g,,Magic Stars Milk Chocolate Bites Pouch Bag,0.8088992974238876,0.8088992974238876
9,2,2,Morrisons|Tesco,fresh_food,branded,Castello,,150.0,g,,Danish Blue Cheese,0.8913793103448275,0.8913793103448275
10,2,2,ASDA|Morrisons,food_cupboard,branded,Belvita,,250.0,g,5.0,Breakfast Biscuits Soft Bakes Filled Strawberry,0.8457142857142856,0.8457142857142856
11,2,2,Morrisons|Tesco,fresh_food,branded,I Can't Believe It's Not Butter,,450.0,g,,Original Spread,1.0,1.0
12,1,1,Morrisons,fresh_food,branded,Getpro,,175.0,g,,Caramel High Protein Pudding,,
13,1,1,Tesco,food_cupboard,branded,John West,,85.0,g,,Smoked Oysters Sunflower Oil,,
14,1,1,Morrisons,drinks,branded,Nestle,,6250.0,ml,,Pure Life Still Spring Water,,
15,1,1,ASDA,food_cupboard,own_brand,,standard,475.0,g,,White Lasagne Pasta Sauce,,
16,1,1,ASDA,fresh_food,own_brand,,premium,170.0,g,,Nut Mix,,
17,1,1,Morrisons,food_cupboard,branded,Mutti,,400.0,g,,Cherry Tomatoes,,
18,1,1,ASDA,fresh_food,own_brand,,dietary,175.0,g,,Chocolate Mousses,,
19,1,1,Sains,free-from,own_brand,,standard,360.0,g,6.0,Lamb and Mint Kebabs,,
20,1,1,Morrisons,drinks,unbranded,,,750.0,ml,,Chevaliers St Martin Aop Bordeaux,,
21,1,1,Tesco,drinks,branded,Scrumpy Jack,,1760.0,ml,4.0,Premium British Cider Can,,
22,1,1,Tesco,food_cupboard,branded,Mazzetti,,250.0,ml,,Gold Label Balsamic Vinegar Of Modena,,
23,1,1,ASDA,drinks,unbranded,,,750.0,ml,,Macon-Villages Reserve Chardonnay,,
24,1,1,Morrisons,frozen,unbranded,,standard,320.0,g,,Thin Crust Cheese Pizza,,
25,1,1,ASDA,drinks,branded,Hardys,,750.0,ml,,Crest Cabernet Shiraz Merlot,,
26,1,1,Sains,drinks,own_brand,,standard,1000.0,ml,,Pure 100% Prune Juice,,
27,1,1,Sains,drinks,own_brand,,standard,750.0,ml,,Quadruple Strength Summer Fruits Squash,,
28,1,1,ASDA,food_cupboard,branded,Buttermilk,,50.0,g,,Peanut Nougat,,
