demo_order,cluster_id,category,cluster_label,Tesco_product,Tesco_price_£,Tesco_size,Sainsbury's_product,Sainsbury's_price_£,Sainsbury's_size,ASDA_product,ASDA_price_£,ASDA_size,Morrisons_product,Morrisons_price_£,Morrisons_size
1,2728,drinks,Millicano Americano Intense Instant Coffee,Kenco Millicano Americano Intense Instant Coffee 95G,3.75,95g,Kenco Millicano Americano Intense Instant Coffee 95g,6.0,95g,Kenco Millicano Americano Intense Instant Coffee,4.0,95g,Kenco Millicano Intense Instant Coffee,4.0,95g
2,2813,fresh_food,Creamy Mash,Tesco Finest Creamy Buttery Mash 450G,2.75,450g,Pure Dairy Free Buttery Taste 500g,2.15,500g,ASDA Extra Special Creamy Mash,1.25,400g,Morrisons Creamy Mash,1.15,450g
3,2854,fresh_food,Cornish Pasties,Tesco 4 Cornish Pasties 520G,2.35,520g,Sainsbury's Cornish Pasties x4 520g,3.0,520g,ASDA 4 Cornish Pasties,2.5,510g,Morrisons Cornish Pasties,2.39,510g
4,2881,drinks,Pure Tropical Fruit Juice,Tropicana Tropical Fruit Juice 1.5L,3.0,1500ml,Tropicana Pure Tropical Fruit Juice 1.5L,3.0,1500ml,Tropicana Pure Tropical Fruit Juice 1.5L,4.0,1500ml,Tropicana Tropical Juice,4.0,1500ml
5,2892,drinks,Apple and Ginger Juice,Cawston Press Apple & Ginger Juice 1 Litre,2.9,1000ml,Cawston Press Apple & Ginger Juice 1L,2.9,1000ml,ASDA Apple & Ginger Juice,2.0,1000ml,Cawston Press Apple & Ginger Juice,2.9,1000ml
6,2945,food_cupboard,Cake Decor Edible Glue,Cake Decor Edible Glue 15G,1.1,15g,Cake Decor Edible Cake Decoration Pens x8,3.15,16g,Cake Decor Edible Glue,1.05,15g,Cake Decor Edible Glue,1.75,19g
7,3078,food_cupboard,Delight 5 Raspberry Rocky Road Bars,Alpen Delight Cereal Bars Raspberry Rocky Road 5x24g,1.1,120g,Alpen Delight Raspberry Rocky Road Bars 5x24g,1.25,120g,Alpen Delight 5 Raspberry Rocky Road Bars 120g,1.0,120g,Alpen Delight Cereal Bars Raspberry Rocky Road,1.25,120g
8,3113,food_cupboard,Original Curry,Pot Noodle Original Curry Instant Noodles 90g,1.2,90g,Pot Noodle Original Curry 90g,1.3,90g,Pot Noodle Original Curry,0.65,90g,Pot Noodle Original Curry Standard,1.29,90g
9,3239,drinks,Beefsteak Club Rare Malbec Pays d'Oc,Beefsteak Club Malbec 75Cl,7.0,750ml,Beefsteak Club Malbec 75cl,6.75,750ml,Beefsteak Club Rare Malbec Pays d'Oc 75cl,6.5,750ml,Beefsteak Club Mendoza Malbec,8.75,750ml
10,3271,drinks,Fillipo Sansovino Pinot Grigio,Pinot Pinot Pinot Grigio Spritzer 200ml,2.0,200ml,PinotPinot Pinot Grigio Fizz 20cl,2.25,200ml,Fillipo Sansovino Pinot Grigio 18.7cl,2.25,187ml,Pinot Pinot Pinot Grigio Spritzer Can,2.75,200ml
