supermarket,prices_(£),prices_unit_(£),unit,names,date,category,own_brand,is_truncated,original_name,supermarket_brand,tier_type,tier_keyword,known_brand,pack_quantity,pack_pattern,unit_value,unit_type,abv_percentage,unit_inferred,attributes_types,attributes_keywords,descriptors,core_product_name,normalized_name,product_idx,known_brand_clean,product_type,has_unit,has_pack,cat_norm,cluster_id,cluster_size,demo_order
ASDA,4.0,42.1,kg,Kenco Millicano Americano Intense Instant Coffee,20240413,drinks,False,False,Kenco Millicano Americano Intense Instant Coffee,,,,Kenco,,,95.0,g,,True,,,,Millicano Americano Intense Instant Coffee,kenco millicano americano intense instant coffee,51,Kenco,branded,True,False,drinks,2728,4,1
Morrisons,4.0,42.1,kg,Kenco Millicano Intense Instant Coffee,20240413,food_cupboard,False,False,Kenco Millicano Intense Instant Coffee,,,,Kenco,,,95.0,g,,True,,,,Millicano Intense Instant Coffee,kenco millicano intense instant coffee,21493,Kenco,branded,True,False,food_cupboard,2728,4,1
Sains,6.0,63.2,kg,Kenco Millicano Americano Intense Instant Coffee 95g,20240413,food_cupboard,False,False,Kenco Millicano Americano Intense Instant Coffee 95g,,,,Kenco,,,95.0,g,,False,,,,Millicano Americano Intense Instant Coffee,kenco millicano americano intense instant coffee,35032,Kenco,branded,True,False,food_cupboard,2728,4,1
Tesco,3.75,39.5,kg,Kenco Millicano Americano Intense Instant Coffee 95G,20240413,drinks,False,False,Kenco Millicano Americano Intense Instant Coffee 95G,,,,Kenco,,,95.0,g,,False,,,,Millicano Americano Intense Instant Coffee,kenco millicano americano intense instant coffee,60682,Kenco,branded,True,False,drinks,2728,4,1
ASDA,1.25,3.12,kg,ASDA Extra Special Creamy Mash,20240413,fresh_food,True,False,ASDA Extra Special Creamy Mash,ASDA Extra Special,premium,Extra Special,,,,400.0,g,,True,,,{'texture': ['creamy']},Creamy Mash,creamy mash,995,,own_brand,True,False,fresh_food,2813,4,2
Morrisons,1.15,2.56,kg,Morrisons Creamy Mash,20240413,fresh_food,True,False,Morrisons Creamy Mash,Morrisons,standard,,,,,450.0,g,,True,,,{'texture': ['creamy']},Creamy Mash,creamy mash,19244,,own_brand,True,False,fresh_food,2813,4,2
Sains,2.15,4.3,kg,Pure Dairy Free Buttery Taste 500g,20240413,fresh_food,False,False,Pure Dairy Free Buttery Taste 500g,,,,,,,500.0,g,,False,free_from,dairy free,,Pure Buttery Taste,pure buttery taste,44724,,unbranded,True,False,fresh_food,2813,4,2
Tesco,2.75,6.11,kg,Tesco Finest Creamy Buttery Mash 450G,20240413,fresh_food,True,False,Tesco Finest Creamy Buttery Mash 450G,Tesco Finest,premium,Finest,,,,450.0,g,,False,,,{'texture': ['creamy']},Creamy Buttery Mash,creamy buttery mash,60892,,own_brand,True,False,fresh_food,2813,4,2
ASDA,2.5,4.8,kg,ASDA 4 Cornish Pasties,20240413,fresh_food,True,False,ASDA 4 Cornish Pasties,ASDA,standard,,,4.0,leading_count,510.0,g,,True,,,,Cornish Pasties,cornish pasties,1510,,own_brand,True,True,fresh_food,2854,4,3
Morrisons,2.39,4.6,kg,Morrisons Cornish Pasties,20240413,fresh_food,True,False,Morrisons Cornish Pasties,Morrisons,standard,,,,,510.0,g,,True,,,,Cornish Pasties,cornish pasties,19324,,own_brand,True,False,fresh_food,2854,4,3
Sains,3.0,5.8,kg,Sainsbury's Cornish Pasties x4 520g,20240413,fresh_food,True,False,Sainsbury's Cornish Pasties x4 520g,Sainsbury's,standard,,,4.0,x_count,520.0,g,,False,,,,Cornish Pasties,cornish pasties,44326,,own_brand,True,True,fresh_food,2854,4,3
