supermarket,prices_(£),prices_unit_(£),unit,names,date,category,own_brand,is_truncated,original_name,supermarket_brand,tier_type,tier_keyword,known_brand,pack_quantity,pack_pattern,unit_value,unit_type,abv_percentage,unit_inferred,attributes_types,attributes_keywords,descriptors,core_product_name,normalized_name,product_idx,known_brand_clean,product_type,has_unit,has_pack,cat_norm,cluster_size,cluster_id,match_type,avg_pairwise_score
ASDA,6.5,68.4,kg,L'OR Artiste Vigoroso Instant Coffee,20240413,drinks,False,False,L'OR Artiste Vigoroso Instant Coffee,,,,L'or,,,95.0,g,,True,,,,Artiste Vigoroso Instant Coffee,lor artiste vigoroso instant coffee,167,L'or,branded,True,False,drinks,3,108,branded,0.0
Morrisons,4.0,42.1,kg,L'OR Artiste Vigoroso Instant Coffee Intensity 8,20240413,food_cupboard,False,False,L'OR Artiste Vigoroso Instant Coffee Intensity 8,,,,L'or,,,95.0,g,,True,,,,Artiste Vigoroso Instant Coffee Intensity 8,lor artiste vigoroso instant coffee intensity 8,23774,L'or,branded,True,False,food_cupboard,3,108,branded,0.0
Sains,4.0,42.1,kg,L'OR Artiste Vigoroso Intensity 8 Instant Coffee 95g,20240413,food_cupboard,False,False,L'OR Artiste Vigoroso Intensity 8 Instant Coffee 95g,,,,L'or,,,95.0,g,,False,,,,Artiste Vigoroso Intensity 8 Instant Coffee,lor artiste vigoroso intensity 8 instant coffee,37848,L'or,branded,True,False,food_cupboard,3,108,branded,0.0
ASDA,1.09,0.55,unit,ASDA Sweet & Crisp Romaine Lettuce Hearts,20240413,fresh_food,True,False,ASDA Sweet & Crisp Romaine Lettuce Hearts,ASDA,standard,,,,,,,,False,,,{'flavor': ['sweet']},Sweet and Crisp Romaine Lettuce Hearts,sweet and crisp romaine lettuce hearts,885,,own_brand,False,False,fresh_food,4,362,own_brand,0.0
Morrisons,1.09,0.55,unit,Morrisons Romaine Lettuce Hearts,20240413,fresh_food,True,False,Morrisons Romaine Lettuce Hearts,Morrisons,standard,,,,,,,,False,,,,Romaine Lettuce Hearts,romaine lettuce hearts,28531,,own_brand,False,False,fresh_food,4,362,own_brand,0.0
Sains,1.15,0.58,unit,"Sainsbury's Romaine Lettuce Hearts, Twin Pack x2",20240413,fresh_food,True,False,"Sainsbury's Romaine Lettuce Hearts, Twin Pack x2",Sainsbury's,standard,,,2.0,x_count,,,,False,,,,"Romaine Lettuce Hearts, Twin Pack",romaine lettuce hearts twin pack,43360,,own_brand,False,True,fresh_food,4,362,own_brand,0.0
Tesco,1.15,0.58,unit,Tesco Romaine Lettuce Hearts Twin Pac,20240413,fresh_food,True,False,Tesco Romaine Lettuce Hearts Twin Pac,Tesco,standard,,,,,,,,False,,,,Romaine Lettuce Hearts Twin Pac,romaine lettuce hearts twin pac,52048,,own_brand,False,False,fresh_food,4,362,own_brand,0.0
ASDA,1.0,35.7,kg,Popworks Sweet & Salty Popped Crisps,20240413,fresh_food,False,False,Popworks Sweet & Salty Popped Crisps,,,,Popworks,,,28.0,g,,True,,,"{'flavor': ['sweet', 'salty']}",Sweet and Salty Popped Crisps,popworks sweet and salty popped crisps,1732,Popworks,branded,True,False,fresh_food,3,776,branded,0.0
Morrisons,1.0,35.7,kg,Popworks Sweet & Salty Popped Crisps,20240413,free-from,False,False,Popworks Sweet & Salty Popped Crisps,,,,Popworks,,,28.0,g,,True,,,"{'flavor': ['sweet', 'salty']}",Sweet and Salty Popped Crisps,popworks sweet and salty popped crisps,17112,Popworks,branded,True,False,free_from,3,776,branded,0.0
Tesco,1.0,35.7,kg,Popworks Sweet & Salty Grab Bag Popped Crisps 28g,20240406,food_cupboard,False,False,Popworks Sweet & Salty Grab Bag Popped Crisps 28g,,,,Popworks,,,28.0,g,,False,,,"{'flavor': ['sweet', 'salty']}",Sweet and Salty Grab Bag Popped Crisps,popworks sweet and salty grab bag popped crisps,63488,Popworks,branded,True,False,food_cupboard,3,776,branded,0.0
