ensemble_cluster_id,cluster_size,min_cos,min_jac,size_ratio,n_brands,n_cats,confidence_score,likely_good
0,4,0.8808367160366272,1.0,1.0,1,2,0.9500000000000001,False
1,3,0.9078353188707596,1.0,1.0,1,2,0.9500000000000001,False
3,2,0.5874643576048373,0.6,1.008888888888889,0,1,0.8672466294496922,True
5,3,0.5871422770749516,0.3333333333333333,1.008888888888889,0,2,0.705997483825773,False
6,4,0.7444258493734995,0.6,1.0,1,2,0.8845158402076904,False
7,4,0.9532890990630754,1.0,1.0,1,2,0.9500000000000001,False
8,4,0.9483119415404838,1.0,1.0,1,2,0.9500000000000001,False
9,4,0.8459249388946453,0.6666666666666666,1.0,1,2,0.9361111111111112,False
10,2,1.0000000000000002,1.0,1.0,1,2,0.9500000000000001,False
11,4,0.7408607937310506,0.5,1.0,1,2,0.8413212925514028,False
12,2,0.8344537143454476,0.6666666666666666,1.0,1,2,0.9361111111111112,False
13,2,0.9668728392874595,1.0,1.0,0,2,0.9500000000000001,False
14,3,0.8364822313392376,0.6666666666666666,1.0,1,2,0.9361111111111112,False
16,4,0.6310937581886374,0.6,1.0,0,2,0.8359449439856067,False
17,3,0.8800070224218646,0.8333333333333334,1.0,1,2,0.9500000000000001,False
18,2,0.8490908364786421,1.0,1.0,1,1,1.0,True
19,4,0.8174832867057973,0.8,1.0,1,2,0.9500000000000001,False
20,4,0.9571736523452565,1.0,1.0,1,2,0.9500000000000001,False
21,2,0.6267987434358729,0.5714285714285714,1.0,1,2,0.8221994614725171,False
22,3,0.968426825110301,1.0,1.0,1,2,0.9500000000000001,False
23,4,0.7947147312254714,0.6666666666666666,1.0,1,2,0.9338459959220274,False
24,2,0.7983224128096433,1.0,1.008888888888889,0,1,0.9992810340612757,True
25,2,1.0000000000000004,1.0,1.0,1,2,0.9500000000000001,False
26,2,0.8892708075928833,0.7142857142857143,1.0,1,1,1.0,True
27,2,0.9086210478962494,1.0,1.0,1,2,0.9500000000000001,False
28,3,0.828386659674334,0.7142857142857143,1.0,1,2,0.9500000000000001,False
31,4,0.8461939216985241,0.8571428571428571,1.0,1,2,0.9500000000000001,False
32,2,0.8641349937419721,0.6,1.0,1,2,0.9083333333333333,False
33,4,0.9235730332891791,1.0,1.0263157894736843,1,2,0.9500000000000001,False
35,3,0.9778616129956841,1.0,1.0,1,2,0.9500000000000001,False
36,3,0.8734883924372255,0.8333333333333334,1.0021074815595363,1,2,0.9500000000000001,False
37,3,0.7186821113769924,0.625,1.0,1,2,0.8838994763044256,False
39,2,0.9780061791604723,1.0,1.0,1,2,0.9500000000000001,False
40,2,0.7459045413601053,0.6666666666666666,1.0,1,2,0.9129273431225849,False
41,2,1.0000000000000004,1.0,1.0,1,2,0.9500000000000001,False
42,2,0.9872204087389267,1.0,1.0,1,2,0.9500000000000001,False
44,4,0.8273030628048386,0.8,1.0,1,2,0.9500000000000001,False
45,2,0.7570863565105355,0.5714285714285714,1.0,1,2,0.8780370099330866,False
46,4,0.7482997777091398,1.0,1.0,1,2,0.9278427618753456,False
48,4,0.7466144899563519,1.0,1.0,1,2,0.9271204956955795,False
49,4,0.6861778332484783,0.8333333333333334,1.0,1,2,0.9012190713922049,False
50,3,0.9028156305358808,1.0,1.0,1,2,0.9500000000000001,False
51,4,0.728415907767886,0.6,1.0,1,2,0.8776544366624274,False
52,2,0.7251025389954666,0.8,1.0526315789473684,0,2,0.9179010881409143,False
53,2,0.9815709606927461,1.0,1.0,1,1,1.0,True
54,4,0.6944881013093126,0.42857142857142855,1.0,1,2,0.7916853767516102,False
58,2,0.8876761385505036,0.6666666666666666,1.0,0,1,0.9861111111111112,True
59,2,0.8787867486943819,1.0,1.01931330472103,1,1,1.0,True
