a_cid,b_cid,a_size,b_size,fuzz,merge,confidence,reason
819,11519,2,2,80.7017543859649,NO,0.95,"Different flavours: Cluster A is Apple & Pear, Cluster B is Apple & Mango. Both have 600ml total volume but different fruit variety means different core product"
852,11466,2,2,100.0,NO,0.95,"Different flavours: Cluster A is Blueberry, Cluster B contains both Cranberry and Blueberry. Morrisons entry is Cranberry (different variety), making clusters i"
787,11712,2,2,61.224489795918366,NO,0.95,Cluster A contains ready-to-drink juices while Cluster B contains squashes (concentrate). Different product categories despite overlapping flavours.
884,13224,2,2,76.19047619047619,NO,0.98,Different brands (Tropicana vs Aqua Libra) and different product types (juice vs sparkling water). Cluster A is fruit juice; Cluster B is sparkling water infuse
884,13017,2,2,76.19047619047619,NO,0.95,"Different flavors: Cluster A is Orange & Mango (blended juice), Cluster B is Pure Smooth Orange (100% orange juice). These are distinct product varieties despit"
884,13086,2,2,76.19047619047619,NO,0.95,"Different flavours: Cluster A is Orange & Mango (blend), while Cluster B is Pure Orange Juice with Juicy Bits. These are distinct product varieties."
846,13086,2,2,85.71428571428571,NO,0.95,Cluster A is 'Pure Smooth Orange' (smooth pulp style) while Cluster B is 'Pure Orange with Extra Juicy Bits' (pulpy style with visible bits). These are differen
914,13145,2,2,100.0,YES,0.95,"All four products are Innocent brand, 'Bolt From The Blue' variety with guava & lime, 750ml volume. Minor naming variations (truncations in listings) don't chan"
919,13318,2,2,60.526315789473685,NO,0.98,Different brands (Innocent vs Radnor) and different flavours (Citrus Shield vs Orange & Passion Fruit). Core products are not identical.
919,13145,2,2,61.81818181818182,NO,0.95,"Different flavours: Cluster A is Citrus Shield (orange citrus blend), Cluster B is Bolt From The Blue (guava & lime). These are distinct product varieties despi"
1832,11523,2,2,74.50980392156863,NO,0.9,"Cluster A products are 'Light' or 'Really Light' variants, while Cluster B products are 'No Added Sugar' concentrated formulations. These represent different pr"
1852,11451,2,2,66.66666666666666,NO,0.95,"Different flavours: Cluster A is Pineapple & Passionfruit, Cluster B is Blackcurrant. Same core product requires identical variety/flavour."
1843,11712,2,2,90.625,NO,0.95,"Different brands and flavour profiles. Cluster A: 'Get More Vits' branded multivitamin squash (Orange, Mango & Passionfruit). Cluster B: Own-brand squashes with"
1225,13034,2,2,60.0,NO,0.99,"Different product types: Cluster A is tonic water/soda (carbonated mixer), Cluster B is pure fruit juice (100% squeezed). Different volumes (900ml vs 1000ml). D"
1881,11522,2,2,86.36363636363636,NO,0.95,Cluster A is 'Ribena Light Blackcurrant' (reduced sugar/calories) while Cluster B is 'Ribena Blackcurrant Juice Drink' (standard). These are different product v
