ensemble_cluster_id,product_idx,supermarket,score,pass
3987,43924,Sains,0.9909,1
4602,37850,Sains,0.9906,1
569,41325,Sains,0.9901,1
6760,50825,Tesco,0.9898,1
9535,6102,ASDA,0.9897,1
9450,6298,ASDA,0.9897,1
12801,21533,Morrisons,0.9895,1
3272,29182,Morrisons,0.989,1
1631,55078,Tesco,0.989,1
3936,50476,Tesco,0.9888,1
1744,31141,Morrisons,0.9886,1
11383,5491,ASDA,0.9886,1
9076,30181,Morrisons,0.9884,1
14268,30316,Morrisons,0.9882,1
13635,9188,ASDA,0.9878,1
5785,27350,Morrisons,0.9876,1
12206,37574,Sains,0.9876,1
1638,53360,Tesco,0.9875,1
11919,14720,ASDA,0.9874,1
11919,52867,Tesco,0.9873,1
2830,26436,Morrisons,0.9871,1
2534,40810,Sains,0.9871,1
4938,36791,Sains,0.9867,1
1049,27577,Morrisons,0.9864,1
8490,47473,Sains,0.9862,1
8673,27236,Morrisons,0.9861,1
170,22417,Morrisons,0.9861,1
4740,50837,Tesco,0.9859,1
9639,4533,ASDA,0.9859,1
4033,57310,Tesco,0.9856,1
3988,57479,Tesco,0.9855,1
1785,21947,Morrisons,0.9854,1
8753,31075,Morrisons,0.9853,1
4959,34056,Sains,0.9847,1
9732,16267,ASDA,0.9844,1
12076,14994,ASDA,0.9843,1
8064,46314,Sains,0.9843,1
14493,12302,ASDA,0.9843,1
8583,57212,Tesco,0.9842,1
4059,61069,Tesco,0.9841,1
669,64004,Tesco,0.984,1
3610,62777,Tesco,0.984,1
7984,31134,Morrisons,0.9836,1
4549,35126,Sains,0.9836,1
5289,20897,Morrisons,0.9836,1
3412,18839,Morrisons,0.9835,1
10148,12486,ASDA,0.9835,1
595,28166,Morrisons,0.9835,1
4122,64609,Tesco,0.9834,1
2060,53437,Tesco,0.9832,1
11589,15180,ASDA,0.9831,1
3982,64953,Tesco,0.9831,1
13883,19688,Morrisons,0.9831,1
10801,12632,ASDA,0.983,1
13095,16395,ASDA,0.9829,1
13720,9874,ASDA,0.9829,1
10894,638,ASDA,0.9828,1
6671,37622,Sains,0.9827,1
4714,17603,Morrisons,0.9827,1
8769,17405,Morrisons,0.9825,1
10435,13585,ASDA,0.9823,1
9108,63781,Tesco,0.9822,1
12309,7757,ASDA,0.9822,1
12126,13987,ASDA,0.9821,1
3052,45873,Sains,0.982,1
13996,18932,Morrisons,0.9819,1
7726,37877,Sains,0.9817,1
14079,5104,ASDA,0.9817,1
13029,28176,Morrisons,0.9815,1
12846,17550,Morrisons,0.9814,1
13811,862,ASDA,0.9814,1
1681,30409,Morrisons,0.9814,1
6517,38064,Sains,0.9813,1
6514,33389,Sains,0.981,1
10001,3794,ASDA,0.981,1
4492,64458,Tesco,0.981,1
13335,27623,Morrisons,0.9808,1
154,53317,Tesco,0.9808,1
619,63937,Tesco,0.9807,1
1017,35535,Sains,0.9807,1
13783,15400,ASDA,0.9807,1
13430,16517,ASDA,0.9805,1
9498,44862,Sains,0.9805,1
5319,37613,Sains,0.9803,1
13995,6267,ASDA,0.9802,1
6786,23897,Morrisons,0.9802,1
2785,60673,Tesco,0.9798,1
13402,24805,Morrisons,0.9797,1
7982,20148,Morrisons,0.9797,1
3600,33508,Sains,0.9796,1
11715,64627,Tesco,0.9792,1
6983,30182,Morrisons,0.9792,1
3046,60436,Tesco,0.9791,1
6604,46764,Sains,0.9791,1
5358,53416,Tesco,0.979,1
9029,40050,Sains,0.9788,1
9553,4109,ASDA,0.9787,1
5632,30314,Morrisons,0.9787,1
5651,42039,Sains,0.9786,1
6049,63817,Tesco,0.9785,1
7700,17565,Morrisons,0.9784,1
4031,29069,Morrisons,0.9783,1
671,31013,Morrisons,0.9782,1
1930,46771,Sains,0.9781,1
9709,14316,ASDA,0.9781,1
12001,58246,Tesco,0.9779,1
5986,49591,Tesco,0.9779,1
10459,52589,Tesco,0.9779,1
7515,61269,Tesco,0.9778,1
7407,28063,Morrisons,0.9776,1
14295,15574,ASDA,0.9775,1
4675,30956,Morrisons,0.9775,1
9155,12015,ASDA,0.9775,1
11243,10804,ASDA,0.9774,1
3093,45548,Sains,0.9773,1
3998,28941,Morrisons,0.9773,1
1103,34636,Sains,0.9772,1
440,19752,Morrisons,0.9772,1
3554,19720,Morrisons,0.9772,1
12774,8553,ASDA,0.977,1
7247,52577,Tesco,0.9768,1
12126,53232,Tesco,0.9767,1
3732,53228,Tesco,0.9766,1
6168,18565,Morrisons,0.9765,1
8972,47806,Sains,0.9765,1
12003,64132,Tesco,0.9765,1
4773,34808,Sains,0.9764,1
12946,28887,Morrisons,0.9763,1
12759,23717,Morrisons,0.9762,1
11023,306,ASDA,0.9762,1
8301,40941,Sains,0.9762,1
4985,38039,Sains,0.9761,1
11736,14617,ASDA,0.9761,1
6743,41427,Sains,0.9761,1
11874,33684,Sains,0.9759,1
1203,23657,Morrisons,0.9758,1
14160,19259,Morrisons,0.9758,1
3044,26267,Morrisons,0.9756,1
6201,59143,Tesco,0.9755,1
13996,6747,ASDA,0.9754,1
14037,6506,ASDA,0.9754,1
11344,55714,Tesco,0.9754,1
575,20223,Morrisons,0.9754,1
11098,40367,Sains,0.9752,1
3593,63452,Tesco,0.9751,1
9826,47636,Sains,0.9751,1
12309,21602,Morrisons,0.975,1
2534,59385,Tesco,0.975,1
5167,52009,Tesco,0.975,1
10496,8456,ASDA,0.9749,1
11877,32734,Sains,0.9748,1
9672,6631,ASDA,0.9748,1
12830,2437,ASDA,0.9748,1
10107,7708,ASDA,0.9748,1
12751,12954,ASDA,0.9747,1
6289,40790,Sains,0.9747,1
4715,64758,Tesco,0.9746,1
9698,49612,Tesco,0.9746,1
12359,30054,Morrisons,0.9746,1
2936,45584,Sains,0.9745,1
13054,2867,ASDA,0.9744,1
14447,13163,ASDA,0.9743,1
5223,20243,Morrisons,0.9743,1
2728,26667,Morrisons,0.9743,1
2171,18920,Morrisons,0.9742,1
5892,22056,Morrisons,0.9741,1
11717,14244,ASDA,0.9741,1
4171,52950,Tesco,0.9741,1
5629,46865,Sains,0.9739,1
3983,57061,Tesco,0.9739,1
1501,52169,Tesco,0.9739,1
9068,28207,Morrisons,0.9739,1
2563,25316,Morrisons,0.9739,1
13362,1846,ASDA,0.9738,1
8703,27022,Morrisons,0.9736,1
9388,13604,ASDA,0.9736,1
13137,31139,Morrisons,0.9735,1
14301,14099,ASDA,0.9734,1
7501,52032,Tesco,0.9732,1
8365,26932,Morrisons,0.9731,1
9057,44583,Sains,0.973,1
12717,13250,ASDA,0.973,1
