cluster_id,tier,llm_pass,reason,q1,q2,q3
5,llm_verify,False,"Union Hand-Roasted is a different branded product (not Colombian Fairtrade); ASDA/Tesco are premium own-brand Colombian, Union is a distinct branded coffee",No,Yes,Yes
6,llm_verify,False,"Union Gajah Mountain is a different branded product; ASDA/Morrisons/Tesco are Colombian Fairtrade own-brands, Union is distinct",No,Yes,Yes
10,llm_verify,False,Kenco Rich vs Kenco Smooth are different product variants (different flavour profiles),No,Yes,Yes
13,llm_verify,True,"Both Lavazza Qualita Rossa, same weight, same branded product",Yes,Yes,Yes
25,llm_verify,True,"Both illy Espresso Classico Roast beans, same weight, same branded product",Yes,Yes,Yes
30,llm_verify,False,Nescafe Azera Americano vs Nescafe Azera Americano Intense are different product variants,No,Yes,Yes
32,llm_verify,True,"All Starbucks House Blend Medium Roast Ground Coffee, same weight, same branded product",Yes,Yes,Yes
36,llm_verify,True,"Both Nescafe Azera Intenso, same weight, same branded product",Yes,Yes,Yes
43,llm_verify,True,"Both Pukka Organic Turmeric Active 20 sachets/bags, same weight, same branded product",Yes,Yes,Yes
45,llm_verify,True,"Both Starbucks Single Origin Colombia Medium Roast Ground Coffee, same weight, same branded product",Yes,Yes,Yes
49,llm_verify,True,"All Nescafe Gold Blend instant coffee, same branded product across retailers with minor naming variations.",Yes,Yes,Yes
53,llm_verify,True,"All Twinings Pure Green Tea 20 bags, identical product across retailers.",Yes,Yes,Yes
54,llm_verify,True,"All Tetley Green Tea with Lemon 50 bags, same branded product with minor naming order variations.",Yes,Yes,Yes
57,llm_verify,True,"All Lavazza Decaffeinated Coffee Beans 500g, identical branded product across retailers.",Yes,Yes,Yes
67,llm_verify,True,"All Twinings Decaffeinated Green Tea 20 bags, same branded product; weight variance 12.5% within acceptable 15% threshold.",Yes,Yes,Yes
71,llm_verify,False,Morrisons product name 'Green Pure Matcha' differs from 'Green Tea Matcha' at other retailers; unclear if same product variant.,No,Yes,Yes
72,llm_verify,False,ASDA Gold is own-brand standard tier; Yorkshire Gold is branded product. Different product types and tier mismatch.,No,Yes,No
76,llm_verify,False,Morrisons L'OR Americano differs from Costa Americano at other retailers; different branded coffee pod variants.,No,Yes,Yes
83,llm_verify,True,"All Twinings Assam Tea Bags 80 bags, identical branded product across retailers.",Yes,Yes,Yes
85,llm_verify,True,"All Tassimo Kenco Americano Grande pods x16, same branded product; weight variance 2.8% within threshold.",Yes,Yes,Yes
88,llm_verify,True,"Identical branded product, same pack count (x240), same weight.",Yes,Yes,Yes
92,llm_verify,False,Different Lavazza espresso variants: Barista vs Cafe vs Barista Perfetto vs Caf—not the same core product line.,No,Yes,Yes
93,llm_verify,False,Different single-origin espresso variants: Caffe Verona vs Sumatra—distinct products.,No,Yes,Yes
94,llm_verify,False,"Same core product (Starbucks Blonde Espresso Roast pods) but pack counts differ significantly (x10 vs x36), exceeding 15% weight variance.",Yes,No,Yes
96,llm_verify,True,"Identical branded product (Starbucks Decaf Espresso Roast pods), same pack count (x10), negligible weight variance.",Yes,Yes,Yes
102,llm_verify,True,"Identical branded product (Tetley Decaf tea bags), same pack count (x160), same weight.",Yes,Yes,Yes
105,llm_verify,True,"Identical branded product (Tetley Decaf tea bags), same pack count (x80), same weight across all retailers.",Yes,Yes,Yes
110,llm_verify,True,"Same core product (own-brand decaf tea bags, x80), both standard tier, within acceptable weight variance.",Yes,Yes,Yes
114,llm_verify,True,"Identical branded product (Lavazza Espresso ground coffee), same weight (250g) across all retailers.",Yes,Yes,Yes
118,llm_verify,True,"Identical branded product (L'OR Espresso Ristretto pods), same pack count (x10), same weight.",Yes,Yes,Yes
121,llm_verify,True,"All Twinings Pure Peppermint 80 tea bags, identical across retailers",Yes,Yes,Yes
123,llm_verify,False,"Sainsbury's is Sumatra origin, others are Colombia origin — different single-origin products",No,Yes,Yes
124,llm_verify,False,"ASDA is Chamomile Flowers, Sainsbury's and Tesco are Everyday Brew — different product types",No,Yes,Yes
126,llm_verify,True,"All Twinings Peppermint 20 tea bags, identical across retailers",Yes,Yes,Yes
127,llm_verify,True,"All standard-tier own-brand Extra Strong tea bags 80-pack, same tier",Yes,Yes,Yes
137,llm_verify,True,"All Twinings Strong English Breakfast 80 tea bags, identical across retailers",Yes,Yes,Yes
139,llm_verify,True,"All Twinings Cranberry & Raspberry 20 tea bags, identical across retailers",Yes,Yes,Yes
146,llm_verify,True,"All Tetley Herbal Fresh Mint 20 tea bags, identical across retailers",Yes,Yes,Yes
156,llm_verify,True,"All Pukka Organic Peppermint & Licorice 20 tea sachets, identical across retailers",Yes,Yes,Yes
157,llm_verify,True,"All Tetley Herbal Pure Camomile 20 tea bags, identical across retailers",Yes,Yes,Yes
158,llm_verify,True,"All branded Cafedirect decaf ground coffee, same weight, minor naming variations acceptable",Yes,Yes,Yes
166,llm_verify,True,"All branded Pukka Night Time herbal tea sachets, pack count irrelevant to Q1",Yes,Yes,Yes
169,llm_verify,True,"All branded Nescafe Gold Cappuccino Decaf sachets, pack count irrelevant to Q1",Yes,Yes,Yes
171,llm_verify,False,Pukka Herbal Collection vs Pukka Feel New are different product lines/flavours,No,Yes,Yes
178,llm_verify,True,"All branded Pukka Organic Three Ginger herbal tea sachets, same core product",Yes,Yes,Yes
179,llm_verify,True,"All branded Pukka Organic Lemon Ginger Manuka Honey tea, weight variance within 15%",Yes,Yes,Yes
183,llm_verify,True,"All branded Pukka Organic Elderberry & Echinacea fruit tea sachets, same product",Yes,Yes,Yes
188,llm_verify,True,"All branded Pukka Organic Morning Berry herbal tea sachets, same weight",Yes,Yes,Yes
189,llm_verify,True,"All branded Pukka Radiance Inner Glow herbal tea sachets, same core product",Yes,Yes,Yes
190,llm_verify,True,"All branded Starbucks Frappuccino Coffee 250ml drinks, same product",Yes,Yes,Yes
191,llm_verify,True,"All standard-tier own-brand instant coffees, same core product type and weight",Yes,Yes,Yes
196,llm_verify,False,Morrisons product lacks cocoa percentage specification in name; likely different formulation,No,Yes,Yes
203,llm_verify,True,"All Nescafe Gold Caramel Latte sachets, pack count differences do not affect Q1",Yes,Yes,Yes
209,llm_verify,True,"Both Nescafe Dolce Gusto Chococino pods, same product",Yes,Yes,Yes
210,llm_verify,True,"All Nescafe Gold Cappuccino Unsweetened sachets, pack count differences do not affect Q1",Yes,Yes,Yes
216,llm_verify,True,"All Starbucks by Nescafe Dolce Gusto Caramel Macchiato pods, pack count differences do not affect Q1",Yes,Yes,Yes
220,llm_verify,True,"Both GU Hot Chocolate Melting Middle desserts, same branded product",Yes,Yes,Yes
222,llm_verify,True,"All Tassimo Costa Latte 6-pack pods, same product across retailers",Yes,Yes,Yes
223,llm_verify,True,"All Tassimo Milk Creamer/Milk pods x16, same product type",Yes,Yes,Yes
224,llm_verify,False,Pack count variance (6 vs 10) indicates different product specifications despite same brand,No,Yes,Yes
232,llm_verify,False,ASDA product includes 'With Popping Boba' while Morrisons and Tesco do not — different core product composition,No,Yes,Yes
233,llm_verify,True,Same branded product (Coffee Mate Original); minor naming variations acceptable; weights within tolerance,Yes,Yes,Yes
240,llm_verify,True,Same own-brand product at standard tier across retailers; identical weight,Yes,Yes,Yes
242,llm_verify,True,Same branded Nescafe product (Original Instant Coffee Refill); minor naming variations acceptable,Yes,Yes,Yes
247,llm_verify,True,Same branded Galaxy Vegan hot chocolate; minor naming variations acceptable; identical weight,Yes,Yes,Yes
249,llm_verify,True,Same own-brand chocolate pudding product at standard tier; size data unavailable but assumed comparable,Yes,Yes,Yes
250,llm_verify,True,Same branded Cadbury Bournville Cocoa; minor naming variations acceptable; identical weight,Yes,Yes,Yes
251,llm_verify,True,Same branded Options Vegan Belgian hot chocolate; minor naming variations acceptable; identical weight,Yes,Yes,Yes
257,llm_verify,True,Same branded Twinings chocolate drink; minor naming variations acceptable; identical weight,Yes,Yes,Yes
262,llm_verify,True,Same own-brand skimmed milk powder at standard tier across all retailers; identical weight,Yes,Yes,Yes
263,llm_verify,True,"All Nescafe Gold Double Choc Mocha sachets, same pack count (x8), within weight variance.",Yes,Yes,Yes
266,llm_verify,True,"All Nescafe 3in1 Original sachets, same pack count (x6), within weight variance.",Yes,Yes,Yes
268,llm_verify,True,"All Costa Salted Caramel Latte sachets, same pack count (x6), identical weight.",Yes,Yes,Yes
270,llm_verify,False,"Sainsbury's product is 2in1 Original (10g sachets, 60g total) vs others are standard 2in1 (9g sachets, 54g total) — different product variants.",No,Yes,Yes
271,llm_verify,True,"All Costa Millionaires Mocha sachets, same pack count (x6), within weight variance.",Yes,Yes,Yes
273,llm_verify,True,"All Costa Mocha Italia Signature Blend Lungo, identical weight variance.",Yes,Yes,Yes
278,llm_verify,False,"ASDA product is Dolce Gusto Compatible; Sainsbury's is A Modo Mio — different capsule systems, not the same product.",No,Yes,Yes
281,llm_verify,True,"All Warburtons Fruity/Fruit Teacakes, same pack count (x4), size data unavailable but assumed comparable.",Yes,Yes,Yes
284,llm_verify,True,"All Pukka Organic Vanilla Chai tea bags, same pack count (x20), identical weight.",Yes,Yes,Yes
287,llm_verify,False,ASDA product is Nescafe Americano Intenso (standard pods); Sainsbury's and Tesco are Dolce Gusto Americano Intenso — different pod systems.,No,Yes,Yes
288,llm_verify,True,"All same branded product (Bubbleology Taro Milk Bubble Tea), identical weight, all branded.",Yes,Yes,Yes
292,llm_verify,False,Different core products: Canderel Granulated Sweetener vs Pure Via Erythritol Sweetener (different sweetener types).,No,Yes,Yes
294,llm_verify,True,"Same branded product (Sweetex Calorie Free Sweetener Tablets 1200s), identical tablet count, all branded.",Yes,Yes,Yes
302,llm_verify,False,Same branded product (Truvia Stevia Tablets) but weight variance exceeds 15% (99.0%).,Yes,No,Yes
304,llm_verify,False,Different sugar types: Golden Caster (ASDA/Morrisons/Sainsbury's) vs Golden Granulated (Tesco) — different product variants.,No,Yes,Yes
305,llm_verify,False,Different core products: ASDA/Morrisons Stevia vs Tesco Sucralose (different sweetener types); also different own-brand tiers.,No,Yes,No
313,llm_verify,False,Different core products: Truvia Caster (ASDA/Morrisons/Sainsbury's) vs Purevia Caster (Tesco) — different brands.,No,Yes,Yes
316,llm_verify,False,Different sugar types: Light Brown Soft (ASDA/Sainsbury's) vs Light Muscovado (Morrisons) vs Light Brown (Tesco) — Muscovado is a distinct variant.,No,Yes,Yes
318,llm_verify,True,"All same branded product (Billington's Demerara Sugar 1kg), identical weight, all branded.",Yes,Yes,Yes
319,llm_verify,False,Different sugar types: Dark Brown Soft (ASDA/Sainsbury's) vs Dark Muscovado (Morrisons) vs Dark Brown (Tesco) — Muscovado is a distinct variant.,No,Yes,Yes
320,llm_verify,True,"All branded Cravendale whole milk, same size, minor naming variations acceptable",Yes,Yes,Yes
321,llm_verify,True,"All branded Billington's Light Muscovado sugar 500g, naming variations acceptable",Yes,Yes,Yes
323,llm_verify,True,"All branded Billington's Dark Muscovado sugar 500g, naming variations acceptable",Yes,Yes,Yes
324,llm_verify,True,"All branded Billington's Golden Granulated sugar 1kg, naming variations acceptable",Yes,Yes,Yes
335,llm_verify,True,"Both Options Instant Belgian Chocolate 220g, same product",Yes,Yes,Yes
337,llm_verify,True,"Both Options Belgian Chocolate Salted Caramel 220g, same product",Yes,Yes,Yes
338,llm_verify,True,"All Ovaltine Chocolate Light 300g, naming variations acceptable",Yes,Yes,Yes
343,llm_verify,True,"All Ovaltine Original Light 300g, naming variations acceptable",Yes,Yes,Yes
344,llm_verify,False,ASDA own-brand malt drink mixed with Horlicks branded products; different products,No,Yes,No
345,llm_verify,True,"All Horlicks Instant Malt 32g, negligible size variance",Yes,Yes,Yes
348,llm_verify,False,Butterfly Mug (homeware) vs Butterfly Cake (food) — different core product types,No,Yes,Yes
349,llm_verify,True,"All mixed vegetable stir-fry, same tier, variance 5.0% within tolerance",Yes,Yes,Yes
353,llm_verify,True,"All mushroom stir-fry, same tier, variance 6.2% within tolerance",Yes,Yes,Yes
357,llm_verify,False,"Firecracker Stir-Fry Sauce vs Black Bean Stir Fry Sauce — different flavour variants, not same core product",No,Yes,Yes
361,llm_verify,False,Sweet Leaf & Carrot Salad vs Sweet Leaf Salad — different ingredient composition,No,Yes,Yes
363,llm_verify,True,"All mixed baby leaf salad, same tier, identical weight",Yes,Yes,Yes
373,llm_verify,True,"All garlic & herb croutons, same weight, Crouton Company is branded product matching own-brand equivalents",Yes,Yes,Yes
385,llm_verify,True,"All vine ripened cherry tomatoes, same tier, size data unavailable assumed comparable",Yes,Yes,Yes
389,llm_verify,True,"Both cooked beetroot value-tier products, identical weight, same tier",Yes,Yes,Yes
393,llm_verify,True,"All green peppers (loose/individual), same tier, size data unavailable assumed comparable",Yes,Yes,Yes
398,llm_verify,True,"All fresh coriander bunches, same tier across retailers",Yes,Yes,Yes
399,llm_verify,True,"Both beef tomatoes, standard tier, size data unavailable but assumed comparable",Yes,Yes,Yes
401,llm_verify,True,"All fresh curly parsley bunches, same tier, identical weight variance",Yes,Yes,Yes
402,llm_verify,True,"All bunched dill, same tier, identical weight variance",Yes,Yes,Yes
408,llm_verify,True,"All cherry tomatoes value/budget tier, identical weight variance",Yes,Yes,Yes
412,llm_verify,True,"Both premium baby potatoes, weight variance 10% within acceptable threshold",Yes,Yes,Yes
413,llm_verify,True,"All roast potatoes standard tier, identical weight variance",Yes,Yes,Yes
416,llm_verify,True,"All baby potatoes standard tier, identical weight variance",Yes,Yes,Yes
425,llm_verify,True,"All red potatoes standard tier, identical weight variance",Yes,Yes,Yes
435,llm_verify,True,"All sliced carrots in water standard tier, identical weight variance",Yes,Yes,Yes
437,llm_verify,True,"All stringless beans, same tier, within variance",Yes,Yes,Yes
444,llm_verify,False,Morrisons product includes cabbage; Tesco is spring greens not leeks—different vegetables,No,Yes,Yes
446,llm_verify,True,"Both diced carrots & swede (word order only), same tier, within variance",Yes,Yes,Yes
454,llm_verify,True,"All chestnut mushrooms, same tier, identical weight",Yes,Yes,Yes
464,llm_verify,True,"Both cauliflower & broccoli florets, same tier, identical weight",Yes,Yes,Yes
467,llm_verify,True,"Both shallots, premium tier, identical weight",Yes,Yes,Yes
468,llm_verify,False,Morrisons is florets; ASDA/Sainsbury's/Tesco are whole cauliflower—different product forms,No,Yes,Yes
471,llm_verify,True,"All loose broccoli, same tier, within variance",Yes,Yes,Yes
475,llm_verify,False,Different branded products: Just Add vs Chop—not the same brand,No,Yes,Yes
481,llm_verify,True,"All loose courgettes, same tier, size data unavailable (assume comparable)",Yes,Yes,Yes
484,llm_verify,True,Same core product (aubergine) across three standard-tier own-brands; size data unavailable but assumed comparable.,Yes,Yes,Yes
490,llm_verify,True,Same core product (baby corn & mangetout) across three standard-tier own-brands; variance 12.5% within 15% threshold.,Yes,Yes,Yes
493,llm_verify,False,ASDA product specifies 'on Malted Bread' while Morrisons and Sainsbury's do not; different bread type indicates different core product.,No,Yes,Yes
496,llm_verify,True,Same core product (chicken & sweetcorn sandwich) across three standard-tier own-brands; size data unavailable but assumed comparable.,Yes,Yes,Yes
497,llm_verify,False,ASDA 'Simply Cheese on Soft White' is a sandwich; Sainsbury's 'White Soft Cheese 300g' is a cheese product—different core products.,No,Yes,Yes
498,llm_verify,False,ASDA is standard-tier sandwich; Sainsbury's is premium-tier (Taste the Difference) bake—different tiers and product formats.,No,Yes,No
499,llm_verify,False,ASDA 'Bacon & Egg' differs from Morrisons 'Egg Mayo & Bacon'—different ingredient emphasis and likely different recipes.,No,Yes,Yes
