cluster_id,same_sku,reason,cluster_size,supermarkets,risk_bucket,flags,titles_preview
10792,False,Different variants: regular vs no added sugar,2,Morrisons|Sains,weak_heuristic|probe_fail,multi_core_product_name|struct_known_brand_disagree,Hartleys Jelly Blackcurrant Flavour Jelly 6PK || Hartley's No Added Sugar Blackcurrant Flavour Jelly Pots 6x115g
7512,False,Different own-brand tiers: Extra Special vs The Best,2,ASDA|Morrisons,weak_heuristic,multi_core_product_name,ASDA Extra Special Handmade Salted Caramel Fudge || Morrisons The Best Salted Caramel Fudge
144,True,"Same branded product, same variant, comparable pack size",4,ASDA|Morrisons|Sains|Tesco,weak_heuristic|probe_fail,cross_category|multi_core_product_name,Galaxy Instant Hot Chocolate || Galaxy Instant Hot Chocolate || Galaxy Instant Hot Chocolate Jar 370g || Galaxy Instant Hot Chocolate Drink 370G
16456,True,"Same branded product, same variant and pack size",2,Sains|Tesco,weak_heuristic|probe_fail,cross_category|multi_core_product_name,Sabra Houmous with Garlic & Red Pepper 200g || Sabra Houmous Garlic Red Pepper 200G
6121,True,"Same core product, comparable pack sizes, own-brand equivalents",4,ASDA|Morrisons|Sains|Tesco,weak_heuristic|probe_fail,cross_category|multi_core_product_name,The BAKERY at ASDA Strawberry Trifle || Morrisons Strawberry Trifle || Sainsbury's Strawberry Trifle Dessert 600g || Tesco Strawberry Trifle 600G
11654,True,"Same branded product and variant, comparable pack size",2,Morrisons|Tesco,weak_heuristic,multi_core_product_name,Nature Valley Fruit & Nut Bars Berr… || Nature Valley Fruit & Nut Cereal Bars 4X30g
12179,False,Different own-brands: Morrisons vs Sainsbury's fresh herbs,2,Morrisons|Sains,weak_heuristic|probe_fail,cross_category|multi_core_product_name,Morrisons Fresh Mint || Sainsbury's Fresh Packed Mint 30g
16814,False,Different premium tiers: Taste the Difference vs Finest,2,Sains|Tesco,weak_heuristic,multi_core_product_name,"Sainsbury's Roast Chicken Stuffing Topped, Taste the Difference 135g || Tesco Finest Roast Chicken & Stuffing 125G"
11414,True,"Same branded product, same variant, comparable pack size",3,Morrisons|Sains|Tesco,weak_heuristic,multi_core_product_name,King Pot Pasta Creamy Carbonara || Pot Pasta Creamy Carbonara Instant Hot Snack 69g || Pot Pasta Creamy Carbonara King Pot 69g
14883,True,"Same core product, same pack size, own-brand equivalents",2,Sains|Tesco,clean,,Sainsbury's Multiseed Bread Mix 500g || Tesco Multiseed Bread Mix 500G
2025,False,Different product formats: soup vs ramen noodles,2,ASDA|Morrisons,weak_heuristic,multi_core_product_name,Naked Soup Asian Style Chicken || Naked Asian Style Chicken Ramen Noodle Soup 25G
4617,True,"Same core product, comparable pack sizes, own-brand equivalents",3,ASDA|Morrisons|Tesco,clean,,ASDA Cranberry Sauce || Morrisons Cranberry Sauce || Tesco Cranberry Sauce 200G
3567,False,Different own-brand tiers: The Bakery vs standard,2,ASDA|Sains,weak_heuristic|probe_fail,multi_core_product_name,The BAKERY at ASDA Cherry Pie || Sainsbury's Cherry Pie Dessert 550g
2562,True,"Same branded product, same variant and pack size",2,ASDA|Tesco,weak_heuristic,multi_core_product_name,Kronenbourg 1664 Lager Beer Cans || Kronenbourg 1664 Lager Beer Can 10x440ml
6716,False,Different variants: Extra Creamy vs Reduced Fat,2,ASDA|Sains,weak_heuristic,multi_core_product_name,Sharwood's Tikka Masala Extra Creamy Curry Sauce || Sharwood's Tikka Masala Reduced Fat Curry Sauce 420g
15526,True,"Same branded product, same variant, comparable pack size",2,Sains|Tesco,weak_heuristic,multi_core_product_name,Garner's Pickled Cauliflower with Turmeric & Ginger 450g (210g*) || Garner's Pickled Cauliflower With Ginger & Turmeric 450G
3157,False,Different brands: Jahan vs Gino's,2,ASDA|Morrisons,weak_heuristic|probe_fail,cross_category|multi_core_product_name,Jahan Southern Fried Chicken Popcorn || Gino's Southern Fried Chicken Popcorn
263,True,"Same branded product, same variant, comparable pack size",3,ASDA|Sains|Tesco,weak_heuristic|probe_fail,cross_category|multi_core_product_name|struct_unit_value_15pct,"Nescafe Gold Toffee Nut Latte x8 || Nescafe Gold Toffee Nut Latte Coffee, x8 19.5g || Nescafe Gold Toffee Nut Latte Coffee Sachets 8X18.6G"
781,False,Different variants: regular vs sugar free,2,ASDA|Tesco,weak_heuristic|probe_fail,cross_category|multi_core_product_name,Tango Tango Apple 500ml || Tango Apple Sugar Free Bottle 500ml
8636,False,Different own-brand tiers: standard vs Taste the Difference,2,ASDA|Sains,weak_heuristic|probe_fail,cross_category,"ASDA Free From Chocolate Orange Hot Cross Buns 260g || Sainsbury's Free From Chocolate Orange Hot Cross Buns, Taste the Diffe"
1410,True,"Same branded product, same variant across retailers",3,ASDA|Morrisons|Tesco,weak_heuristic|probe_fail,cross_category,The Gym Kitchen Barbeque Lentils || The Gym Kitchen Barbeque Lentils || The Gym Kitchen Barbeque Lentils 250g
9535,True,"Same branded product, same variant and comparable pack size",2,Morrisons|Sains,weak_heuristic,multi_core_product_name,Thai Taste Red Curry Paste Pouch || Thai Taste Red Curry Paste 200g
14107,False,Different own-brand products from different retailers with different formulations,2,Morrisons|Sains,weak_heuristic|probe_fail,cross_category|multi_core_product_name,"Morrisons Pineapple & Coconut Juice || Sainsbury's Pineapple & Coconut Juice Drink, No Added Sugar 1L"
9295,True,"Same branded product, same variant across retailers",3,Morrisons|Sains|Tesco,weak_heuristic|probe_fail,cross_category,Rude Health Organic Almond Drink || Rude Health Almond Drink 1L || Rude Health Almond Drink 1 Litre
4261,True,"Same branded product, same variant across retailers",2,ASDA|Tesco,weak_heuristic,multi_core_product_name,Napolina Chopped Tomatoes with Garlic || Napolina Chopped Tomatoes With Garlic 400G
3892,False,"Different own-brand products from different retailers, not equivalent tier/variant",4,ASDA|Morrisons|Sains|Tesco,weak_heuristic,multi_core_product_name,ASDA Scottish Porridge Oats || Morrisons Porridge Oats || Sainsbury's Scottish Porridge Oats 1kg || Tesco Scottish Oats Porridge 1Kg
857,False,"Different variants - some specify No Added Sugar, others don't",4,ASDA|Morrisons|Sains|Tesco,weak_heuristic,multi_core_product_name,Pomegreat Pomegranate Juice Drink No Added Sugar || Pomegreat Pomegranate Juice Drink || PomeGreat Pomegranate Juice Drink 1L || Pomegreat Pomegranate Juice Drink 1 Litre
