ensemble_cluster_id,cluster_size,conflict_type,conflict_token,retailer_a,retailer_b,name_a,name_b
45,4,one_sided,decaf,ASDA,Tesco,ASDA Rich Roast Instant Coffee Granules Decaffeinated 200g,Mellow Birds Instant Coffee 200G
45,4,one_sided,decaf,Morrisons,Tesco,Morrisons Decaff Full Roast Instant Coffee,Mellow Birds Instant Coffee 200G
45,4,one_sided,decaf,Sains,Tesco,"Sainsbury's Rich Roast Instant Coffee Granules, Decaffeinated 200g",Mellow Birds Instant Coffee 200G
144,3,one_sided,decaf,ASDA,Tesco,L'OR Espresso Lungo Profondo Coffee Pods x10 Intensity 11,Tesco Finest Decaff Americano Microground Coffee 100G
144,3,one_sided,decaf,Sains,Tesco,L'OR Lungo Profondo Intensity 8 Aluminium Coffee Pods x20,Tesco Finest Decaff Americano Microground Coffee 100G
283,4,one_sided,decaf,ASDA,Morrisons,Lavazza Espresso Maestro Decaffeinated Medium Roasting 10 Capsules 58g,Caffe Nero Napoletano 10 Capsules
283,4,one_sided,decaf,Morrisons,Sains,Caffe Nero Napoletano 10 Capsules,Lavazza Espresso Maestro Decaffeinated Medium Roasting Capsules x10 58g
283,4,one_sided,decaf,Morrisons,Tesco,Caffe Nero Napoletano 10 Capsules,Lavazza Espresso Decaffeinated Coffee Capsules 10 Pack 58G
348,4,named_flavour_clash,hoisin vs teriyaki,Morrisons,Sains,Morrisons Stir Fry Hoisin Sauce,Sainsburys Teriyaki Stir Fry Sauce 175g
1346,4,named_flavour_clash,pesto vs bolognese,ASDA,Sains,ASDA Green Pesto Micro Pasta,Heinz Spaghetti Bolognese 200g
1346,4,named_flavour_clash,pesto vs bolognese,Morrisons,Sains,Morrisons Green Pesto Microwave Pasta,Heinz Spaghetti Bolognese 200g
1346,4,named_flavour_clash,bolognese vs pesto,Sains,Tesco,Heinz Spaghetti Bolognese 200g,Tesco Classic Green Pesto 190G
1483,3,one_sided,sour,ASDA,Tesco,Jacob's Savours Thins Sour Cream & Chive Crackers 150g,Tesco free from cream crackers 137g
1483,3,one_sided,sour,Sains,Tesco,"Jacob's Savours Thins, Sour Cream & Chive Crackers 150g",Tesco free from cream crackers 137g
1962,4,named_flavour_clash,thai vs cajun,ASDA,Tesco,Mug Shot Noodles Thai Style,Mug Shot Cajun Pasta 60G
1962,4,named_flavour_clash,thai vs cajun,Morrisons,Tesco,Mug Shot Thai Style,Mug Shot Cajun Pasta 60G
1962,4,named_flavour_clash,thai vs cajun,Sains,Tesco,"Mug Shot Noodles, Thai Style 55g",Mug Shot Cajun Pasta 60G
1983,4,named_flavour_clash,carbonara vs bolognese,ASDA,Tesco,Batchelors Pasta 'n' Sauce Creamy Carbonara Flavour 65g,Plantastic Bolognese Pasta In Tomato Sauce 65G
2022,4,one_sided,smoky,ASDA,Morrisons,Batchelors Pasta 'n' Sauce Smoky Cheese & Pancetta Flavour Pasta Sachet,Batchelors Pasta 'N' Sauce Ch…
2022,4,one_sided,smoky,ASDA,Sains,Batchelors Pasta 'n' Sauce Smoky Cheese & Pancetta Flavour Pasta Sachet,"Batchelors Pasta 'n' Sauce, Cheese & Pancetta 110g"
