threshold,n_clusters_kept,kept_pct_of_full,n_4way,n_3way,n_2way,probe_pass_rate_pct,mean_confidence
0.3,13129,99.7,4744,3991,4394,52.9,0.793
0.35,13077,99.3,4707,3977,4393,53.1,0.795
0.4,12914,98.0,4589,3938,4387,53.8,0.801
0.45,12598,95.6,4370,3855,4373,55.1,0.81
0.5,12183,92.5,4102,3734,4347,57.0,0.821
0.55,11618,88.2,3730,3573,4315,59.8,0.836
0.6,10926,82.9,3314,3363,4249,63.5,0.852
0.65,10086,76.6,2870,3062,4154,68.1,0.871
0.7,9150,69.5,2419,2721,4010,71.4,0.891
0.75,8122,61.7,1971,2369,3782,73.5,0.912
0.8,7055,53.6,1572,1981,3502,74.7,0.932
0.85,5938,45.1,1210,1591,3137,76.4,0.952
0.9,4871,37.0,889,1240,2742,78.1,0.969
