idx_a,idx_b,retailer_a,retailer_b,name_a,name_b,similarity,size_ratio,category
13215,58785,ASDA,Tesco,ASDA 8 Meringue Nests,Tesco 8 Meringue Nests,1.0,,food_cupboard
22368,50316,Morrisons,Tesco,Morrisons The Best Meringue Nests,Tesco Finest Meringue Nests 8S,1.0,,food_cupboard
31614,60978,Sains,Tesco,"Sainsbury's Prunes, Pitted, in Juice 290g",Tesco Pitted Prunes In Juice 290G,1.0,1.0,food_cupboard
32303,49533,Sains,Tesco,"Sainsbury's Pasta Sauce, Tomato & Chilli 500g",Tesco Tomato & Chilli Pasta Sauce 500G,1.0,1.0,food_cupboard
872,29564,ASDA,Morrisons,JUST ESSENTIALS by ASDA Salad Tomatoes,Morrisons Salad Tomatoes,1.0,,fresh_food
903,29580,ASDA,Morrisons,ASDA Organic Cucumber,Morrisons Organic Cucumber,1.0,,fresh_food
904,28662,ASDA,Morrisons,ASDA Extra Special Balsamic Dressing,Morrisons Balsamic Dressing,1.0,1.0,fresh_food
907,29581,ASDA,Morrisons,JUST ESSENTIALS by ASDA Round Lettuce,Morrisons Round Lettuce,1.0,,fresh_food
907,43455,ASDA,Sains,JUST ESSENTIALS by ASDA Round Lettuce,"Sainsbury's Lettuce, Round",1.0,,fresh_food
10933,57174,ASDA,Tesco,Disney Cars Lightning McQueen Chocolate Cake,Disney Cars Lightning Mcqueen Chocolate Cake,1.0,,bakery
1006,43381,ASDA,Sains,ASDA British Swede,Sainsbury's British Swede,1.0,,fresh_food
1097,28605,ASDA,Morrisons,ASDA Organic Brown Onions,Morrisons Organic Brown Onions,1.0,1.0,fresh_food
1128,28538,ASDA,Morrisons,JUST ESSENTIALS by ASDA Green Beans,Morrisons Savers Green Beans,1.0,1.2,fresh_food
1179,19096,ASDA,Morrisons,"ASDA Chicken, Bacon & Sweetcorn Pasta Salad","Chicken, Bacon & Sweetcorn Pasta Salad",1.0,,fresh_food
3942,28533,ASDA,Morrisons,ASDA Organic Fairtrade Bananas,Morrisons Organic Fairtrade Bananas,1.0,,fresh_food
10833,52620,ASDA,Tesco,St Pierre 4 Seeded Brioche Burger Buns,St Pierre 4 Seeded Brioche Burger Buns,1.0,,bakery
3970,28544,ASDA,Morrisons,JUST ESSENTIALS by ASDA Lemons,Morrisons Savers Lemons,1.0,,fresh_food
22434,59826,Morrisons,Tesco,Morrisons The Best Italian Cherry Tomatoes (400g),Tesco Italian Cherry Tomatoes 400G,1.0,1.0,food_cupboard
20753,50316,Morrisons,Tesco,Morrisons Meringue Nests,Tesco Finest Meringue Nests 8S,1.0,,food_cupboard
10833,25900,ASDA,Morrisons,St Pierre 4 Seeded Brioche Burger Buns,St. Pierre 4 Seeded Brioche Burger Buns,1.0,,bakery
10983,26072,ASDA,Morrisons,Mr Kipling Apple & Blackcurrant Pies,Mr Kipling Apple & Blackcurrant Pies,1.0,,bakery
29646,55483,Morrisons,Tesco,Morrisons Raspberry Sponge Cake,Tesco Raspberry Sponge Cake,1.0,,bakery
48419,49750,Sains,Tesco,Cadbury Dairy Milk Caramel Mini Cookies x14,Cadbury Dairy Milk Caramel Mini Cookies X14,1.0,,bakery
7153,40805,ASDA,Sains,Kopparberg Premium Cider Sweet Vintage Pear 500ml,Kopparberg Sweet Vintage Pear Premium Cider 500ml,1.0,1.0,drinks
25900,52620,Morrisons,Tesco,St. Pierre 4 Seeded Brioche Burger Buns,St Pierre 4 Seeded Brioche Burger Buns,1.0,,bakery
2527,31263,ASDA,Sains,ASDA British Salted Butter 250g,"Sainsbury's British Butter, Salted 250g",1.0,1.0,food_cupboard
2530,31265,ASDA,Sains,ASDA British Unsalted Butter 250g,"Sainsbury's British Butter, Unsalted 250g",1.0,1.0,food_cupboard
8828,18096,ASDA,Morrisons,Melis Pickled Garlic,Melis Pickled Garlic,1.0,1.0,food_cupboard
8962,21135,ASDA,Morrisons,Schwartz Curry Sauce for Chips Mix,Schwartz Curry Sauce For Chips Mix,1.0,1.2,food_cupboard
15527,29087,ASDA,Morrisons,Mr Kipling Lemon Bakewells,Mr Kipling Lemon Bakewells,1.0,,bakery
11816,34836,ASDA,Sains,ASDA Extra Special Pesto Alla Genovese 190g,Sainsbury's Taste the Difference Alla Genovese Pesto 190g,1.0,1.0,food_cupboard
13198,58785,ASDA,Tesco,ASDA Extra Special 8 Meringue Nests,Tesco 8 Meringue Nests,1.0,,food_cupboard
11029,48344,ASDA,Sains,Maltesers Cake Bars,Maltesers Cake Bars,1.0,,bakery
11029,26139,ASDA,Morrisons,Maltesers Cake Bars,Maltesers Cake Bars,1.0,,bakery
13244,32814,ASDA,Sains,ASDA Thick Cut Orange Marmalade 454g,"Sainsbury's Orange Marmalade, Thick Cut 454g",1.0,1.0,food_cupboard
15388,21682,ASDA,Morrisons,ASDA Chopped Mixed Nuts,Morrisons Chopped Mixed Nuts,1.0,1.2,food_cupboard
3970,43298,ASDA,Sains,JUST ESSENTIALS by ASDA Lemons,Sainsbury's Lemons,1.0,,fresh_food
10922,54626,ASDA,Tesco,ASDA Free From 2 Chocolate Twists,Tesco Free From 2 Chocolate Twists,1.0,,bakery
3971,28541,ASDA,Morrisons,JUST ESSENTIALS by ASDA Plums,Morrisons Plums,1.0,1.0,fresh_food
18720,58371,Morrisons,Tesco,Morrisons Egg & Bacon Sandwich,Tesco Egg & Bacon Sandwich,1.0,,fresh_food
45174,58630,Sains,Tesco,Sainsbury's Southern Fried Chicken Wrap,Tesco Southern Fried Chicken Wrap,1.0,,fresh_food
44403,55272,Sains,Tesco,Sainsbury's Egg & Cress Sandwich,Tesco Egg & Cress Sandwich,1.0,,fresh_food
43775,62640,Sains,Tesco,Sainsbury's Samphire 90g,Tesco Finest Samphire 90g,1.0,1.0,fresh_food
