idx_a,idx_b,retailer_a,retailer_b,name_a,name_b,similarity,size_ratio,category
12853,18194,ASDA,Morrisons,SweetZone Tangy Mix,Sweetzone Tangy Mix,1.0,1.111,food_cupboard
4108,29026,ASDA,Morrisons,ASDA Extra Special Plums,Morrisons The Best Plums,1.0,,fresh_food
15388,21682,ASDA,Morrisons,ASDA Chopped Mixed Nuts,Morrisons Chopped Mixed Nuts,1.0,1.2,food_cupboard
12851,18176,ASDA,Morrisons,SweetZone Party Mix,Sweetzone Party Mix,1.0,1.111,food_cupboard
6934,21799,ASDA,Morrisons,ASDA Original Porridge Pot,Morrisons Original Porridge Pot,1.0,1.098,food_cupboard
46618,55421,Sains,Tesco,Bonne Maman Lemon Madeleines Cakes 175g,Bonne Maman Lemon Madeleines 175G,0.98,1.0,bakery
37840,61781,Sains,Tesco,Mohapx Sunflower Seeds 300g,Tesco Sunflower Seeds 300G,0.977,1.0,food_cupboard
47191,63849,Sains,Tesco,Blossom Hill White Zinfandel Rosé 75cl,Blossom Hill White Zinfandel 75Cl,0.974,1.0,drinks
11598,60752,ASDA,Tesco,Simply Cook Spicy Prawn Pasta Recipe Kit 43g,Simply Cook Spicy Prawns Pasta Recipe Kit 43G,0.974,1.0,food_cupboard
8552,38072,ASDA,Sains,Oxo Hickory Smoked Chipotle Seasoning Rub,Oxo Hickory Smoked Chipotle Seasoning Rub 35g,0.969,1.143,food_cupboard
15460,24769,ASDA,Morrisons,Mirabeau Forever Summer,Mirabeau Forever Summer Rose,0.961,1.0,drinks
46442,51635,Sains,Tesco,Paul Hollywood Ready to Bake Crusty Rolls x4,Paul Hollywood 4 Ready To Bake White Crusty Rolls,0.959,,bakery
37842,64749,Sains,Tesco,Hellmann's Squeezy Mayonnaise Chilli Charger 250ml,Hellmann's Chilli Charger Mayonnaise Squeezy 250g,0.957,1.0,food_cupboard
3748,22530,ASDA,Morrisons,Mug Shot Classic Original Curry Noodles,Mug Shot Noodles Classic Original Curry Soup,0.956,1.007,food_cupboard
21726,51338,Morrisons,Tesco,Morrisons Savers Pickled Silverskin Onions (440g),Tesco Sweet Pickled Silverskin Onions 440G,0.953,1.0,food_cupboard
14234,45081,ASDA,Sains,Holy Moly Red Pepper & Tomato Salsa 150g,Holy Moly Smoky Red Pepper & Tomato Salsa 150g,0.949,1.0,fresh_food
16473,63662,ASDA,Tesco,Maltesers Chocolate Bunny Extra Large Easter Egg,Maltesers Milk Chocolate Bunny Extra Large Easter Egg 236g,0.946,1.144,food_cupboard
40367,59286,Sains,Tesco,Shipyard American IPA Ale Beer Can 4x440ml,Shipyard American IPA Ale Beer Bottle 4X440ml,0.946,1.0,drinks
39557,64468,Sains,Tesco,J2O Spritz Apple & Watermelon Sparkling Juice Drink 4x275ml,J2O Spritz Sparkling Apple & Watermelon 4x275ml,0.945,1.0,drinks
28219,48659,Morrisons,Sains,Morrisons Unsmoked Gammon Steaks,Sainsbury's Unsmoked Gammon Steaks 300g,0.942,1.2,fresh_food
19116,45333,Morrisons,Sains,Yo Chicken Katsu Rolls,YO! Chicken Katsu Rolls 200g,0.941,1.143,fresh_food
