ensemble_cluster_id,supermarket,names,prices_(£),unit_value,unit_type,tier_keyword,own_brand,category
81,ASDA,Tassimo Kenco Americano Decaff Coffee Pods x 16,4.75,103.9,g,,False,drinks
81,Morrisons,Tassimo Kenco Americano Decaff Coffee Pods x16,4.99,104.0,g,,False,food_cupboard
81,Sains,Tassimo Kenco Americano Decaff Coffee Pods x16,4.2,104.0,g,,False,food_cupboard
81,Tesco,Tassimo Kenco Americano Decaff Pods X16 104G,4.8,104.0,g,,False,drinks
741,ASDA,Kubus 100% Apple Carrot Banana Juice,1.75,850.0,ml,,False,drinks
741,Morrisons,Kubus Juice Carrot Banana Apple,1.85,850.0,ml,,False,food_cupboard
741,Tesco,"Kubus 100% Juice Apple, Carrot & Banana 850Ml",1.75,850.0,ml,,False,food_cupboard
1336,ASDA,Carr's Table Water Crackers 125g,1.7,125.0,g,,False,food_cupboard
1336,Morrisons,Carr's Table Water Crackers,1.7,125.0,g,,False,food_cupboard
1336,Sains,Carr's Table Water Crackers 125g,1.7,125.0,g,,False,food_cupboard
1336,Tesco,Carrs Table Water Biscuits 125 G,1.7,125.0,g,,False,food_cupboard
1374,ASDA,The Snack Organisation Sweet Chilli Rice Crackers,1.0,100.0,g,,False,food_cupboard
1374,Sains,The Snack Organisation Sweet Chilli Rice Crackers 100g,1.15,100.0,g,,False,food_cupboard
1444,ASDA,Fibre One 90 Calorie Doughnuts Banoffee Flavour,1.45,90.0,g,,False,food_cupboard
1444,Tesco,Fibre One 90 Calorie Doughnut Banoffee 4X23g,1.5,92.0,g,,False,food_cupboard
1554,ASDA,Kellogg's Rice Krispies Limited Edition Squares Chocolatey Orange Flavour Bars,1.5,140.0,g,,False,food_cupboard
1554,Sains,Kellogg's Rice Krispies Limited Edition Squares Chocolatey Orange Flavour Bars 4x36g,1.5,144.0,g,,False,food_cupboard
1956,ASDA,Tanqueray No. Ten Gin,35.0,700.0,ml,,False,drinks
