supermarket,prices_(£),prices_unit_(£),unit,names,date,category,own_brand,is_truncated,original_name,supermarket_brand,tier_type,tier_keyword,known_brand,pack_quantity,pack_pattern,unit_value,unit_type,abv_percentage,unit_inferred,attributes_types,attributes_keywords,descriptors,core_product_name,normalized_name
Morrisons,1.85,10.3,kg,GetPro Caramel High Protein Pudding,20240413,fresh_food,False,False,GetPro Caramel High Protein Pudding,,,,Getpro,,,179.6,g,,True,,,,Caramel High Protein Pudding,caramel high protein pudding
Tesco,2.6,40.0,kg,John West Smoked Oysters Sunflower Oil 85G,20240413,food_cupboard,False,False,John West Smoked Oysters Sunflower Oil 85G,,,,John West,,,85.0,g,,False,,,{'cooking_method': ['smoked']},Smoked Oysters Sunflower Oil,smoked oysters sunflower oil
Morrisons,2.5,0.4,l,Nestle Pure Life Still Spring Water,20240413,drinks,False,False,Nestle Pure Life Still Spring Water,,,,Nestle,,,6250.0,ml,,True,,,,Pure Life Still Spring Water,pure life still spring water
ASDA,1.05,2.2,kg,ASDA White Lasagne Pasta Sauce,20240413,food_cupboard,True,False,ASDA White Lasagne Pasta Sauce,ASDA,standard,,,,,477.3,g,,True,,,{'bakery_type': ['white']},White Lasagne Pasta Sauce,white lasagne pasta sauce
ASDA,2.5,14.3,kg,ASDA Extra Special Nut Mix,20240413,fresh_food,True,False,ASDA Extra Special Nut Mix,ASDA Extra Special,premium,Extra Special,,,,174.8,g,,True,,,,Nut Mix,nut mix
Morrisons,2.5,6.25,kg,Mutti Cherry Tomatoes (400g),20240404,food_cupboard,False,False,Mutti Cherry Tomatoes (400g),,,,Mutti,,,400.0,g,,False,,,,Cherry Tomatoes,cherry tomatoes
ASDA,1.9,10.6,kg,ASDA Free From Chocolate Mousses,20240413,fresh_food,True,False,ASDA Free From Chocolate Mousses,ASDA Free From,dietary,Free From,,,,179.2,g,,True,,,,Chocolate Mousses,chocolate mousses
Sains,4.0,11.11,kg,Sainsbury's Lamb & Mint Kebabs x6 360g,20240405,free-from,True,False,Sainsbury's Lamb & Mint Kebabs x6 360g,Sainsbury's,standard,,,6.0,x_count,360.0,g,,False,,,{'cut_meat': ['kebabs']},Lamb and Mint Kebabs,lamb and mint kebabs
Morrisons,6.0,7.98,l,Chevaliers St Martin Aop Bordeaux,20240413,drinks,False,False,Chevaliers St Martin Aop Bordeaux,,,,,,,751.9,ml,,True,,,,Chevaliers St Martin Aop Bordeaux,chevaliers st martin aop bordeaux
ASDA,3.25,6.5,kg,Nesquik Strawberry Flavoured Milkshake Powder,20240413,drinks,False,False,Nesquik Strawberry Flavoured Milkshake Powder,,,,,,,500.0,g,,True,,,{'form': ['powder']},Nesquik Strawberry Flavoured Milkshake Powder,nesquik strawberry flavoured milkshake powder
Tesco,5.0,2.84,l,Scrumpy Jack Premium British Cider Can 4x440ml,20240413,drinks,False,False,Scrumpy Jack Premium British Cider Can 4x440ml,,,,Scrumpy Jack,4.0,count_x_size,1760.0,ml,,False,,,{'packaging': ['can']},Premium British Cider Can,premium british cider can
Morrisons,31.25,625.0,kg,Players Easy Rolling Tobacco,20240413,drinks,False,False,Players Easy Rolling Tobacco,,,,,,,50.0,g,,True,,,,Players Easy Rolling Tobacco,players easy rolling tobacco
Tesco,7.45,29.8,l,Mazzetti Gold Label Balsamic Vinegar Of Modena 250Ml,20240413,food_cupboard,False,False,Mazzetti Gold Label Balsamic Vinegar Of Modena 250Ml,,,,Mazzetti,,,250.0,ml,,False,,,,Gold Label Balsamic Vinegar Of Modena,gold label balsamic vinegar of modena
