supermarket,prices_(£),prices_unit_(£),unit,names,date,category,own_brand
Morrisons,1.85,10.3,kg,GetPro Caramel High Protein Pudding,20240413,fresh_food,False
Tesco,2.6,40.0,kg,John West Smoked Oysters Sunflower Oil 85G,20240413,food_cupboard,False
Morrisons,2.5,0.4,l,Nestle Pure Life Still Spring Water,20240413,drinks,False
ASDA,1.05,2.2,kg,ASDA White Lasagne Pasta Sauce,20240413,food_cupboard,True
ASDA,2.5,14.3,kg,ASDA Extra Special Nut Mix,20240413,fresh_food,True
Morrisons,2.5,6.25,kg,Mutti Cherry Tomatoes (400g),20240404,food_cupboard,False
ASDA,1.9,10.6,kg,ASDA Free From Chocolate Mousses,20240413,fresh_food,True
Sains,4.0,11.11,kg,Sainsbury's Lamb & Mint Kebabs x6 360g,20240405,free-from,True
Morrisons,6.0,7.98,l,Chevaliers St Martin Aop Bordeaux,20240413,drinks,False
ASDA,3.25,6.5,kg,Nesquik Strawberry Flavoured Milkshake Powder,20240413,drinks,False
Tesco,5.0,2.84,l,Scrumpy Jack Premium British Cider Can 4x440ml,20240413,drinks,False
Morrisons,31.25,625.0,kg,Players Easy Rolling Tobacco,20240413,drinks,False
Tesco,7.45,29.8,l,Mazzetti Gold Label Balsamic Vinegar Of Modena 250Ml,20240413,food_cupboard,False
ASDA,10.5,139.96,l,Macon-Villages Reserve Chardonnay 750ml,20240413,drinks,False
Morrisons,0.97,3.09,kg,Morrison Thin Crust Cheese Pizza,20240413,frozen,False
ASDA,6.5,86.64,l,Hardys Crest Cabernet Shiraz Merlot,20240413,drinks,False
Sains,2.1,2.1,l,Sainsbury's Pure 100% Prune Juice 1L,20240413,drinks,True
Sains,1.5,2.0,l,Sainsbury's Quadruple Strength Summer Fruits Squash 750ml,20240413,drinks,True
ASDA,1.5,30.0,kg,Buttermilk Peanut Nougat,20240413,food_cupboard,False
Tesco,2.5,13.3,kg,Tesco Finest 4 Pork Sausage Rolls 188G,20240413,fresh_food,True
ASDA,2.25,7.8,kg,Blue Riband Original Milk Chocolate Wafer Biscuits 16 Pack,20240413,food_cupboard,False
Sains,2.35,7.3,kg,Geeta's Mango Chutney 320g,20240413,food_cupboard,False
ASDA,1.7,0.28,unit,Sheldon's Lancashire Oven Bottom Muffins,20240413,bakery,False
Sains,2.25,7.5,kg,Kellogg's Special K The Original 300g,20240413,food_cupboard,False
Morrisons,3.0,33.3,kg,Kind Dark Chocolate Nuts & Sea Sa…,20240413,food_cupboard,False
ASDA,2.4,4.8,l,Sharp's Doom Bar Amber Ale,20240413,drinks,False
Tesco,0.89,4.4,kg,Stockwell & Co 80 Tea Bags 200G,20240413,drinks,False
Tesco,1.95,13.93,kg,Philadelphia Original Soft Cream Cheese Mini Tub 4 Pack 140G,20240413,fresh_food,False
Morrisons,2.5,12.5,kg,Applewood Vegan Block,20240413,free-from,False
ASDA,1.0,4.2,kg,Ambrosia Deluxe Custard Madagascan Vanilla 2 x 120g (240g),20240413,food_cupboard,False
Tesco,1.9,15.2,kg,Tesco Finest Chai 50 Tea Bags 125G,20240413,drinks,True
Sains,2.0,33.3,kg,Grenade Jaffa Quake Chocolate Orange Flavour 60g,20240413,free-from,False
Tesco,1.75,13.7,kg,Mars Triple Treat Fruit Nut & Chocolate Bars Multipack 4 X 32g,20240413,food_cupboard,False
Sains,1.3,15.3,kg,Sainsbury's Paprika Lentil Triangles 85g,20240413,food_cupboard,True
Sains,7.0,46.67,kg,"Sainsbury's Raw Large Canadian Scallops MSC, Taste the Difference 150g",20240413,free-from,True
Morrisons,1.8,10.2,kg,Haribo Tangfastics 11 Mini…,20240219,food_cupboard,False
Sains,2.5,13.7,kg,Snickers Creamy Peanut Butter & Milk Chocolate Snack Bars Multipack 182g,20240324,food_cupboard,False
Sains,1.15,15.3,kg,Cadbury Dairy Milk Daim Chocolate Dessert 75g,20240413,fresh_food,False
Tesco,1.05,4.2,kg,Tesco Plant Chef Coleslaw 250G,20240413,fresh_food,True
Sains,3.35,18.2,kg,"Sainsbury's New York Vanilla Cheesecake Slices, Taste the Difference 2x92g",20240413,free-from,True
Sains,0.75,5.0,l,Sainsbury's Fresh Soured Cream 150ml,20240313,fresh_food,True
Sains,1.75,3.5,kg,Chicken Tonight Honey & Mustard 500g,20240413,food_cupboard,False
Sains,8.0,10.64,l,Brancott Estate Sauvignon Blanc White Wine 75cl,20240413,drinks,False
Tesco,2.0,11.1,kg,Fox's Milk Chocolate Cookies 180G,20240413,food_cupboard,False
Tesco,2.2,15.7,kg,Alpro Double Chocolate Dairy Free Vegan Soya Dessert 2x70g,20240413,fresh_food,False
ASDA,2.2,22.0,kg,ASDA Goat's Cheese,20240216,fresh_food,True
Sains,6.3,31.5,kg,Lindt Lindor Strawberries & Cream Chocolate Truffles Box 200g,20240413,food_cupboard,False
Morrisons,2.99,12.9,kg,PG Tips Original 80 Tea Bags,20240413,food_cupboard,False
