Feature,Type,Description
supermarket,str,"Supermarket name (Tesco, ASDA, Morrisons, Sains)"
prices_(£),float64,Product price in pounds
prices_unit_(£),float64,Unit price in pounds
unit,str,"Unit of measurement (kg, l, unit, m)"
names,str,Original product name
date,int64,Date of data collection
category,str,Product category
own_brand,object,Boolean flag for own brand products
is_truncated,bool,Whether name is truncated (ends with ... or …)
name_length,float64,Character length of product name
word_count,float64,Number of words in product name
has_own_prefix,bool,Whether name starts with supermarket-specific prefix
has_grams,bool,Whether name contains grams unit (g)
has_kilograms,bool,Whether name contains kilograms unit (kg)
has_milliliters,bool,Whether name contains milliliters unit (ml)
has_liters,bool,Whether name contains liters unit (l)
has_pack_size,bool,"Whether name mentions pack size (x6, pack of 4, etc.)"
has_percentage,bool,Whether name contains percentage value
extracted_numbers,object,List of all numbers found in name
number_count,int64,Count of numbers in name
unit_in_name,bool,N/A
unit_in_name_type,str,N/A
has_ampersand,bool,Whether name contains & character
has_hyphen,bool,Whether name contains - character
has_apostrophe,bool,Whether name contains ' character
has_comma,bool,"Whether name contains , character"
has_parentheses,bool,Whether name contains parentheses
has_slash,bool,Whether name contains / character
has_plus,bool,Whether name contains + character
uppercase_count,int64,Count of uppercase letters
lowercase_count,int64,Count of lowercase letters
digit_count,int64,Count of digit characters
special_char_count,int64,Count of special characters
is_all_caps,bool,Whether entire name is uppercase
is_title_case,bool,Whether name is in title case
starts_with_capital,bool,Whether name starts with capital letter
has_known_brand,bool,Whether name contains a recognized brand
has_organic_keyword,bool,Whether name contains organic keywords
has_free_from_keyword,bool,Whether name contains free-from keywords
has_quality_tier,bool,Whether name contains quality tier keywords
has_value_tier,bool,Whether name contains value tier keywords
